,Open,Close,High,Low,Volume,Date
0,1710,1708,1714,1694,,2022-05-06
1,1758,1711,1758,1710,,2022-05-05
2,1779,1739,1785,1737,,2022-05-04
3,1765,1774,1788,1759,,2022-05-03
4,0,1751,0,0,,2022-05-02
5,1764,1751,1768,1746,,2022-04-29
6,1738,1760,1760,1735,,2022-04-28
7,1737,1738,1763,1724,,2022-04-27
8,1730,1737,1740,1711,,2022-04-26
9,1730,1716,1732,1713,,2022-04-25
10,1745,1738,1757,1722,,2022-04-22
11,1760,1757,1763,1740,,2022-04-21
12,1745,1756,1769,1740,,2022-04-20
13,1759,1738,1764,1734,,2022-04-19
14,0,1770,0,0,,2022-04-18
15,1766,1770,1777,1763,,2022-04-14
16,1763,1762,1788,1753,,2022-04-13
17,1799,1773,1809,1757,,2022-04-12
18,1807,1796,1825,1784,,2022-04-11
19,1774,1804,1806,1774,,2022-04-08
20,1733,1769,1772,1733,,2022-04-07
21,1722,1738,1744,1717,,2022-04-06
22,1737,1719,1749,1715,,2022-04-05
23,1744,1736,1769,1730,,2022-04-04
24,1764,1749,1768,1740,,2022-04-01
25,1770,1769,1788,1757,,2022-03-31
26,1773,1772,1784,1751,,2022-03-30
27,1755,1771,1775,1748,,2022-03-29
28,1717,1749,1756,1716,,2022-03-28
29,1717,1723,1740,1711,,2022-03-25
30,1760,1739,1772,1733,,2022-03-24
31,1721,1756,1760,1718,,2022-03-23
32,1687,1722,1725,1687,,2022-03-22
33,1701,1687,1706,1682,,2022-03-21
34,1689,1713,1720,1686,,2022-03-18
35,1710,1693,1720,1672,,2022-03-17
36,0,1716,0,0,,2022-03-16
37,1771,1714,1771,1703,,2022-03-15
38,1798,1782,1801,1785,,2022-03-14
39,1789,1782,1803,1751,,2022-03-11
40,1740,1778,1794,1740,,2022-03-10
41,1745,1740,1757,1730,,2022-03-09
42,1714,1737,1765,1714,,2022-03-08
43,1694,1710,1715,1687,,2022-03-07
44,1648,1694,1696,1648,,2022-03-04
45,1653,1653,1661,1640,,2022-03-03
46,1631,1650,1663,1631,,2022-03-02
47,1663,1648,1663,1623,,2022-03-01
48,1673,1642,1673,1636,,2022-02-28
49,1685,1674,1692,1671,,2022-02-25
50,1700,1684,1700,1663,,2022-02-24
51,1681,1709,1734,1681,,2022-02-23
52,1661,1683,1689,1659,,2022-02-22
53,1690,1665,1695,1665,,2022-02-21
54,1699,1690,1704,1685,,2022-02-18
55,1716,1696,1724,1694,,2022-02-17
56,1757,1718,1769,1713,,2022-02-16
57,1769,1757,1773,1755,,2022-02-15
58,1790,1757,1790,1753,,2022-02-14
59,1808,1798,1808,1782,,2022-02-11
60,1797,1807,1809,1792,,2022-02-10
61,1764,1795,1798,1755,,2022-02-09
62,1756,1759,1768,1743,,2022-02-08
63,1768,1746,1773,1741,,2022-02-07
64,1757,1768,1779,1755,,2022-02-04
65,1758,1754,1760,1734,,2022-02-03
66,1749,1749,1763,1740,,2022-02-02
67,1706,1745,1752,1695,,2022-02-01
68,1703,1703,1711,1693,,2022-01-31
69,1679,1696,1700,1677,,2022-01-28
70,1691,1680,1703,1678,,2022-01-27
71,1688,1703,1712,1688,,2022-01-26
72,1698,1691,1706,1688,,2022-01-25
73,1730,1698,1735,1695,,2022-01-24
74,1752,1737,1754,1733,,2022-01-21
75,1765,1758,1771,1751,,2022-01-20
76,1775,1764,1775,1746,,2022-01-19
77,1785,1769,1785,1760,,2022-01-18
78,1779,1779,1790,1773,,2022-01-17
79,1740,1773,1776,1737,,2022-01-14
80,1712,1733,1742,1702,,2022-01-13
81,1725,1707,1727,1703,,2022-01-12
82,1708,1718,1727,1692,,2022-01-11
83,1703,1698,1711,1691,,2022-01-10
84,1656,1705,1708,1654,,2022-01-07
85,1675,1653,1678,1650,,2022-01-06
86,1678,1676,1690,1651,,2022-01-05
87,1696,1668,1704,1665,,2022-01-04
88,0,1701,0,0,,2022-01-03
89,1714,1701,1716,1692,,2021-12-31
90,1697,1710,1717,1692,,2021-12-30
91,1685,1699,1699,1678,,2021-12-29
92,1690,1681,1699,1673,,2021-12-28
93,0,1680,0,0,,2021-12-27
94,1694,1680,1695,1670,,2021-12-23
95,1690,1682,1703,1677,,2021-12-22
96,1684,1690,1691,1668,,2021-12-21
97,1684,1669,1691,1665,,2021-12-20
98,1709,1704,1719,1700,,2021-12-17
99,1724,1717,1729,1690,,2021-12-16
100,0,1720,0,0,,2021-12-15
101,0,1610,0,0,,2021-12-14
102,1538,1571,1574,1521,,2021-12-13
103,1527,1511,1527,1498,,2021-12-10
104,1541,1547,1560,1527,,2021-12-09
105,1606,1566,1606,1567,,2021-12-08
106,1564,1611,1618,1564,,2021-12-07
107,1601,1562,1601,1540,,2021-12-06
108,1609,1601,1618,1597,,2021-12-03
109,1578,1605,1615,1571,,2021-12-02
110,1605,1580,1605,1540,,2021-12-01
111,1611,1598,1614,1590,,2021-11-30
112,1643,1617,1647,1615,,2021-11-29
113,1663,1626,1666,1616,,2021-11-26
114,1671,1681,1686,1671,,2021-11-25
115,1700,1681,1707,1677,,2021-11-24
116,1702,1713,1719,1701,,2021-11-23
117,1687,1702,1704,1683,,2021-11-22
118,1690,1685,1690,1672,,2021-11-19
119,1673,1688,1693,1673,,2021-11-18
120,1673,1673,1684,1667,,2021-11-17
121,1680,1669,1681,1649,,2021-11-16
122,1673,1680,1691,1672,,2021-11-15
123,1691,1674,1693,1665,,2021-11-12
124,1682,1690,1697,1674,,2021-11-11
125,1643,1678,1698,1643,,2021-11-10
126,1654,1643,1664,1632,,2021-11-09
127,1655,1640,1663,1625,,2021-11-08
128,1666,1655,1674,1647,,2021-11-05
129,1653,1666,1676,1646,,2021-11-04
130,1651,1658,1667,1643,,2021-11-03
131,1684,1657,1684,1652,,2021-11-02
132,1686,1686,1698,1675,,2021-11-01
133,1720,1694,1722,1689,,2021-10-29
134,1732,1719,1738,1718,,2021-10-28
135,1748,1733,1751,1722,,2021-10-27
136,1747,1748,1752,1736,,2021-10-26
137,1748,1755,1766,1747,,2021-10-25
138,1754,1754,1763,1740,,2021-10-22
139,1742,1753,1766,1736,,2021-10-21
140,1766,1742,1773,1737,,2021-10-20
141,1819,1776,1819,1773,,2021-10-19
142,1800,1809,1815,1790,,2021-10-18
143,1815,1809,1829,1796,,2021-10-15
144,1819,1814,1826,1798,,2021-10-14
145,1862,1819,1867,1817,,2021-10-13
146,1857,1856,1886,1853,,2021-10-12
147,1883,1860,1889,1855,,2021-10-11
148,1863,1886,1889,1859,,2021-10-08
149,1865,1863,1882,1860,,2021-10-07
150,1890,1861,1897,1852,,2021-10-06
151,1907,1887,1915,1880,,2021-10-05
152,1883,1897,1919,1882,,2021-10-04
153,1875,1883,1904,1859,,2021-10-01
154,1844,1874,1878,1836,,2021-09-30
155,1794,1839,1842,1794,,2021-09-29
156,1765,1794,1804,1763,,2021-09-28
157,1784,1766,1793,1762,,2021-09-27
158,1810,1789,1819,1781,,2021-09-24
159,1843,1813,1844,1810,,2021-09-23
160,1822,1838,1842,1820,,2021-09-22
161,1805,1816,1826,1804,,2021-09-21
162,1821,1802,1825,1800,,2021-09-20
163,1817,1824,1825,1810,,2021-09-17
164,1805,1816,1819,1802,,2021-09-16
165,0,1809,0,0,,2021-09-15
166,1740,1753,1756,1740,,2021-09-14
167,1738,1738,1753,1737,,2021-09-13
168,1794,1731,1794,1730,,2021-09-10
169,1777,1770,1792,1765,,2021-09-09
170,1792,1772,1793,1768,,2021-09-08
171,1771,1786,1791,1761,,2021-09-07
172,1771,1769,1776,1761,,2021-09-06
173,1786,1766,1796,1764,,2021-09-03
174,1737,1784,1787,1737,,2021-09-02
175,1723,1738,1745,1716,,2021-09-01
176,1742,1719,1760,1714,,2021-08-31
177,0,1732,0,0,,2021-08-30
178,1740,1732,1747,1729,,2021-08-27
179,1733,1745,1747,1728,,2021-08-26
180,1722,1738,1744,1722,,2021-08-25
181,1721,1725,1733,1717,,2021-08-24
182,1729,1719,1729,1715,,2021-08-23
183,1730,1726,1738,1724,,2021-08-20
184,1724,1729,1731,1712,,2021-08-19
185,1732,1728,1742,1727,,2021-08-18
186,1705,1728,1733,1705,,2021-08-17
187,1701,1710,1715,1701,,2021-08-16
188,1692,1703,1704,1692,,2021-08-13
189,1696,1687,1700,1686,,2021-08-12
190,1688,1695,1697,1682,,2021-08-11
191,1674,1689,1690,1668,,2021-08-10
192,1650,1668,1674,1650,,2021-08-09
193,1638,1660,1664,1638,,2021-08-06
194,1633,1637,1649,1633,,2021-08-05
195,1649,1638,1662,1634,,2021-08-04
196,1614,1648,1650,1612,,2021-08-03
197,1630,1616,1630,1599,,2021-08-02
198,1634,1617,1641,1612,,2021-07-30
199,1645,1643,1659,1637,,2021-07-29
200,1634,1652,1665,1632,,2021-07-28
201,1629,1639,1650,1624,,2021-07-27
202,1590,1633,1639,1584,,2021-07-26
203,1582,1591,1603,1567,,2021-07-23
204,1570,1579,1580,1563,,2021-07-22
205,1563,1570,1598,1556,,2021-07-21
206,1563,1559,1567,1551,,2021-07-20
207,1590,1558,1591,1557,,2021-07-19
208,1609,1592,1617,1581,,2021-07-16
209,1533,1604,1533,1521,,2021-07-15
210,1570,1542,1585,1560,,2021-07-14
211,1580,1597,1599,1567,,2021-07-13
212,1571,1579,1588,1543,,2021-07-12
213,1559,1565,1573,1551,,2021-07-09
214,1560,1559,1563,1554,,2021-07-08
215,1588,1572,1597,1557,,2021-07-07
216,1600,1585,1607,1580,,2021-07-06
217,1594,1602,1603,1589,,2021-07-05
218,1599,1584,1600,1581,,2021-07-02
219,1603,1594,1615,1593,,2021-07-01
220,1597,1607,1609,1584,,2021-06-30
221,1592,1600,1612,1583,,2021-06-29
222,1593,1590,1596,1581,,2021-06-28
223,1588,1596,1605,1583,,2021-06-25
224,1595,1588,1595,1581,,2021-06-24
225,1606,1595,1606,1590,,2021-06-23
226,1599,1609,1612,1598,,2021-06-22
227,1602,1599,1615,1598,,2021-06-21
228,1605,1603,1616,1599,,2021-06-18
229,1595,1605,1615,1595,,2021-06-17
230,1609,1603,1609,1593,,2021-06-16
231,1618,1613,1618,1605,,2021-06-15
232,1603,1618,1620,1603,,2021-06-14
233,1614,1605,1614,1598,,2021-06-11
234,1603,1609,1623,1594,,2021-06-10
235,1595,1592,1601,1589,,2021-06-09
236,1590,1595,1606,1588,,2021-06-08
237,1617,1593,1622,1591,,2021-06-07
238,1608,1616,1630,1599,,2021-06-04
239,1610,1614,1623,1609,,2021-06-03
240,1626,1609,1626,1600,,2021-06-02
241,1617,1623,1637,1611,,2021-06-01
242,0,1617,0,0,,2021-05-31
243,1617,1617,1624,1605,,2021-05-28
244,1640,1613,1640,1602,,2021-05-27
245,1624,1638,1644,1624,,2021-05-26
246,1630,1624,1641,1621,,2021-05-25
247,1636,1630,1686,1627,,2021-05-24
248,1632,1634,1643,1621,,2021-05-21
249,1654,1632,1655,1624,,2021-05-20
250,1687,1651,1687,1639,,2021-05-19
251,1706,1687,1713,1686,,2021-05-18
252,1693,1711,1724,1689,,2021-05-17
253,1706,1689,1714,1687,,2021-05-14
254,1693,1706,1693,1692,,2021-05-13
255,1640,1687,1689,1640,,2021-05-12
256,1644,1641,1650,1635,,2021-05-11
257,1613,1650,1665,1613,,2021-05-10
258,1582,1620,1625,1576,,2021-05-07
259,1569,1589,1590,1560,,2021-05-06
260,1543,1562,1567,1543,,2021-05-05
261,1578,1544,1580,1541,,2021-05-04
262,0,1576,0,0,,2021-05-03
263,1629,1576,1629,1575,,2021-04-30
264,1616,1629,1642,1614,,2021-04-29
265,1613,1617,1626,1604,,2021-04-28
266,1622,1618,1622,1607,,2021-04-27
267,1618,1623,1626,1603,,2021-04-26
268,1618,1620,1627,1616,,2021-04-23
269,1603,1618,1629,1603,,2021-04-22
270,1594,1608,1623,1593,,2021-04-21
271,1605,1591,1616,1590,,2021-04-20
272,1599,1610,1630,1599,,2021-04-19
273,1606,1602,1613,1594,,2021-04-16
274,1598,1606,1622,1598,,2021-04-15
275,1608,1606,1611,1587,,2021-04-14
276,1584,1613,1623,1581,,2021-04-13
277,1597,1580,1601,1578,,2021-04-12
278,1640,1598,1641,1594,,2021-04-09
279,1691,1641,1706,1634,,2021-04-08
280,1704,1693,1708,1686,,2021-04-07
281,1700,1702,1711,1693,,2021-04-06
282,0,1713,0,0,,2021-04-05
283,1703,1713,1721,1698,,2021-04-01
284,1686,1693,1710,1684,,2021-03-31
285,1730,1691,1735,1688,,2021-03-30
286,1730,1734,1742,1725,,2021-03-29
287,1743,1738,1753,1725,,2021-03-26
288,1721,1741,1754,1718,,2021-03-25
289,1720,1726,1733,1710,,2021-03-24
290,1737,1714,1742,1712,,2021-03-23
291,1728,1728,1738,1718,,2021-03-22
292,1754,1736,1754,1717,,2021-03-19
293,1732,1752,1759,1731,,2021-03-18
294,1743,1736,1749,1720,,2021-03-17
295,1890,1737,1898,1853,,2021-03-16
296,1905,1892,1910,1888,,2021-03-15
297,1919,1909,1919,1900,,2021-03-12
298,1908,1912,1953,1905,,2021-03-11
299,1888,1900,1907,1880,,2021-03-10
300,1905,1887,1906,1885,,2021-03-09
301,1919,1904,1927,1890,,2021-03-08
302,1965,1929,1965,1921,,2021-03-05
303,1966,1966,1968,1956,,2021-03-04
304,1958,1970,1979,1936,,2021-03-03
305,1938,1953,1957,1910,,2021-03-02
306,1913,1936,1951,1910,,2021-03-01
307,1900,1912,1917,1888,,2021-02-26
308,1840,1888,1900,1840,,2021-02-25
309,1835,1838,1839,1820,,2021-02-24
310,1837,1835,1853,1815,,2021-02-23
311,1785,1836,1837,1785,,2021-02-22
312,1752,1786,1790,1750,,2021-02-19
313,1751,1750,1755,1746,,2021-02-18
314,1758,1752,1770,1750,,2021-02-17
315,1764,1755,1765,1747,,2021-02-16
316,1749,1764,1778,1744,,2021-02-15
317,1743,1746,1754,1735,,2021-02-12
318,1774,1743,1775,1737,,2021-02-11
319,1758,1771,1774,1740,,2021-02-10
320,1745,1754,1769,1742,,2021-02-09
321,1747,1739,1747,1723,,2021-02-08
322,1732,1742,1746,1720,,2021-02-05
323,1722,1728,1740,1722,,2021-02-04
324,1754,1722,1757,1718,,2021-02-03
325,1735,1763,1769,1733,,2021-02-02
326,1719,1739,1744,1709,,2021-02-01
327,1715,1728,1748,1715,,2021-01-29
328,1718,1721,1731,1703,,2021-01-28
329,1725,1720,1769,1719,,2021-01-27
330,1716,1725,1732,1710,,2021-01-26
331,1729,1720,1736,1710,,2021-01-25
332,1734,1733,1742,1704,,2021-01-22
333,1757,1741,1766,1729,,2021-01-21
334,1768,1762,1777,1751,,2021-01-20
335,1755,1768,1783,1725,,2021-01-19
336,1737,1755,1758,1728,,2021-01-18
337,1709,1734,1743,1709,,2021-01-15
338,1705,1695,1708,1683,,2021-01-14
339,1690,1703,1721,1683,,2021-01-13
340,1677,1694,1703,1676,,2021-01-12
341,1686,1679,1692,1666,,2021-01-11
342,1696,1686,1714,1684,,2021-01-08
343,1669,1705,1712,1661,,2021-01-07
344,1696,1675,1700,1667,,2021-01-06
345,1722,1692,1722,1678,,2021-01-05
346,1745,1722,1774,1720,,2021-01-04
347,1735,1737,1748,1721,,2020-12-31
348,1671,1737,1743,1662,,2020-12-30
349,1694,1674,1707,1670,,2020-12-29
350,0,1691,0,0,,2020-12-28
351,1702,1691,1707,1688,,2020-12-24
352,1695,1709,1721,1685,,2020-12-23
353,1726,1707,1726,1679,,2020-12-22
354,1689,1718,1723,1671,,2020-12-21
355,1701,1685,1710,1677,,2020-12-18
356,1686,1693,1705,1673,,2020-12-17
357,1711,1688,1718,1681,,2020-12-16
358,1749,1714,1776,1712,,2020-12-15
359,1833,1747,1833,1683,,2020-12-14
360,1627,1671,1695,1626,,2020-12-11
361,1667,1630,1667,1614,,2020-12-10
362,1691,1662,1693,1659,,2020-12-09
363,1722,1689,1724,1685,,2020-12-08
364,1715,1722,1725,1705,,2020-12-07
365,1727,1717,1738,1704,,2020-12-04
366,1744,1725,1775,1716,,2020-12-03
367,1755,1744,1764,1714,,2020-12-02
368,1840,1821,1840,1820,,2020-12-01
369,1867,1839,1867,1831,,2020-11-30
370,1883,1876,1883,1835,,2020-11-27
371,1850,1869,1870,1850,,2020-11-26
372,1882,1842,1895,1831,,2020-11-25
373,1850,1887,1946,1848,,2020-11-24
374,1794,1836,1844,1788,,2020-11-23
375,1763,1790,1816,1763,,2020-11-20
376,1743,1771,1776,1737,,2020-11-19
377,1719,1742,1746,1710,,2020-11-18
378,1660,1716,1725,1656,,2020-11-17
379,1619,1659,1660,1617,,2020-11-16
380,1584,1592,1599,1577,,2020-11-13
381,1599,1597,1602,1577,,2020-11-12
382,1611,1599,1616,1596,,2020-11-11
383,1627,1598,1629,1584,,2020-11-10
384,1604,1625,1633,1595,,2020-11-09
385,1603,1596,1615,1594,,2020-11-06
386,1597,1601,1617,1580,,2020-11-05
387,1594,1592,1596,1578,,2020-11-04
388,1578,1594,1596,1566,,2020-11-03
389,1605,1579,1609,1575,,2020-11-02
390,1616,1605,1629,1597,,2020-10-30
391,1633,1621,1644,1620,,2020-10-29
392,1665,1634,1670,1632,,2020-10-28
393,1705,1678,1714,1671,,2020-10-27
394,1695,1705,1719,1689,,2020-10-26
395,1683,1695,1710,1683,,2020-10-23
396,1657,1688,1695,1657,,2020-10-22
397,1650,1658,1676,1645,,2020-10-21
398,1664,1644,1671,1641,,2020-10-20
399,1644,1669,1676,1642,,2020-10-19
400,1632,1639,1646,1625,,2020-10-16
401,1639,1632,1655,1627,,2020-10-15
402,1642,1636,1649,1628,,2020-10-14
403,1668,1643,1683,1641,,2020-10-13
404,1695,1673,1695,1670,,2020-10-12
405,1712,1689,1714,1676,,2020-10-09
406,1710,1712,1727,1702,,2020-10-08
