,Open,Close,High,Low,Volume,Date
0,399.75,406.25,407.75,187.0,,2022-05-06
1,391.75,401.0,402.5,187.0,,2022-05-05
2,388.25,390.5,394.5,382.25,,2022-05-04
3,403.0,390.75,409.0,388.5,,2022-05-03
4,400.5,403.0,407.0,392.0,,2022-05-02
5,417.25,400.75,427.75,399.25,,2022-04-29
6,417.5,416.5,427.75,410.75,,2022-04-28
7,413.75,418.25,419.5,412.25,,2022-04-27
8,413.0,415.25,415.5,411.0,,2022-04-26
9,406.0,408.25,412.0,402.0,,2022-04-25
10,404.25,407.0,414.0,187.0,,2022-04-22
11,398.25,405.75,408.5,396.75,,2022-04-21
12,399.5,398.5,400.5,394.5,,2022-04-20
13,410.0,399.5,411.0,397.75,,2022-04-19
14,405.0,401.0,411.0,400.0,,2022-04-14
15,394.0,403.0,409.5,390.75,,2022-04-13
16,383.0,399.25,400.0,382.75,,2022-04-12
17,375.0,379.5,380.5,373.75,,2022-04-11
18,364.25,372.75,375.0,363.5,,2022-04-08
19,363.5,363.75,367.5,363.0,,2022-04-07
20,363.75,364.0,369.75,362.75,,2022-04-06
21,369.5,364.5,372.75,363.75,,2022-04-05
22,369.5,363.75,370.5,362.5,,2022-04-04
23,365.75,365.25,372.25,362.75,,2022-04-01
24,363.25,369.5,374.0,360.75,,2022-03-31
25,357.5,362.5,367.25,355.5,,2022-03-30
26,371.0,357.5,373.5,347.5,,2022-03-29
27,374.25,369.75,377.0,367.75,,2022-03-28
28,373.25,381.25,383.5,371.25,,2022-03-25
29,381.75,376.5,383.5,374.0,,2022-03-24
30,382.25,384.5,388.5,380.0,,2022-03-23
31,379.5,379.0,388.75,373.25,,2022-03-22
32,364.0,376.75,378.75,187.0,,2022-03-21
33,365.0,361.75,366.25,360.25,,2022-03-18
34,365.5,367.75,370.75,361.0,,2022-03-17
35,381.5,363.5,384.25,360.0,,2022-03-16
36,385.0,386.5,392.5,374.0,,2022-03-15
37,366.5,378.75,386.5,362.25,,2022-03-14
38,374.25,370.75,376.0,362.5,,2022-03-11
39,0.0,386.25,0.0,0.0,,2022-03-10
40,398.0,403.5,403.75,392.25,,2022-03-09
41,424.5,395.0,425.0,395.0,,2022-03-08
42,430.0,422.5,450.0,422.5,,2022-03-07
43,400.0,393.75,426.0,378.0,,2022-03-04
44,366.0,381.75,390.75,355.0,,2022-03-03
45,370.0,361.0,390.0,349.75,,2022-03-02
46,331.25,351.25,352.25,180.75,,2022-03-01
47,302.5,322.5,323.75,180.75,,2022-02-28
48,308.5,290.0,314.25,289.25,,2022-02-25
49,307.25,316.5,344.0,180.75,,2022-02-24
50,280.0,287.0,287.75,279.0,,2022-02-23
51,281.0,278.5,282.75,273.25,,2022-02-22
52,271.75,274.0,275.0,269.0,,2022-02-21
53,264.0,271.75,272.75,262.75,,2022-02-18
54,266.75,265.0,311.5,263.25,,2022-02-17
