main_text,comment
"Somebody pinch me 😍 Dreamy Rose Gold Radiant Cut Bridal Set! 💍Comment ""Radiant"" if you need it 👇 Tag who must see it too 💎Rings by @benzdiamonds#diamond #engagementring #jewlerybox #jewels #diamond #love #jewelry #eternityband #peardiamond #pear #carat #whitegold #diamonds #engagementring #engaged #diamondring #engagementring #ring #rings #engagementrings #ringselfie #weddingband #proposal #diamond","{""1"": {""comment_id"": ""ring_legacy""  ""comment_text"": ""Somebody pinch me 😍 Dreamy Rose Gold Radiant Cut Bridal Set! 💍\nComment \""Radiant\"" if you need it 👇 Tag who must see it too 💎\n\nRings by @benzdiamonds\n\n#diamond #engagementring #jewlerybox #jewels #diamond #love #jewelry #eternityband #peardiamond #pear #carat #whitegold #diamonds #engagementring #engaged #diamondring #engagementring #ring #rings #engagementrings #ringselfie #weddingband #proposal #diamond""}  ""2"": {""comment_id"": ""ring_legacy""  ""comment_text"": ""Radiant…😍""}  ""3"": {""comment_id"": ""nana_akua_emerald""  ""comment_text"": ""❤️""}  ""4"": {""comment_id"": ""bcoandre""  ""comment_text"": ""Gorgeous! Love the radiant! ❤️""}  ""5"": {""comment_id"": ""rafa_steelerlvr""  ""comment_text"": ""How much in Tanzaninan shillings??""}  ""6"": {""comment_id"": ""marry.6747""  ""comment_text"": ""😍""}  ""7"": {""comment_id"": ""thediamondroomtx""  ""comment_text"": ""Cute set! But i dont like the box very much 😢""}}"
【レッドバート】オイルパステル2021年A2日本ではなかなか見る事が出来ない紅い品種の洋梨。飛びついて買いました。#レッドバート #洋梨 #fruit#pear #バートレット #ウィリアム #bartlett#Birne #poire #pera #pirum #груша#नासपाती #배　#梨子 #redbartlett#maxredbartlett #oilpastel#drawing #carandache #neocolor2 #yukokurihara#栗原由子 #sketch #art#artwork,"{""1"": {""comment_id"": ""kuri_nihonga""  ""comment_text"": ""【レッドバート】\nオイルパステル\n2021年\nA2\n\n日本ではなかなか見る事が出来ない\n紅い品種の洋梨。\n飛びついて買いました。\n\n#レッドバート #洋梨 #fruit\n#pear #バートレット #ウィリアム #bartlett\n#Birne #poire #pera #pirum #груша\n#नासपाती #배　#梨子 #redbartlett\n#maxredbartlett #oilpastel\n#drawing #carandache #neocolor2 #yukokurihara\n#栗原由子 #sketch #art\n#artwork""}  ""2"": {""comment_id"": ""kuri_nihonga""  ""comment_text"": ""Your work is beautiful 😍""}  ""3"": {""comment_id"": ""kleobright""  ""comment_text"": ""@kleobright Thank you so much😊""}  ""4"": {""comment_id"": ""kuri_nihonga""  ""comment_text"": ""可愛いらしくもあり、素晴らしい作品ですね👏👏👏👏👏😍😍😍""}  ""5"": {""comment_id"": ""yokomori_t""  ""comment_text"": ""@yokomori_t ありがとうございます😊😍とっても嬉しいです！""}  ""6"": {""comment_id"": ""kuri_nihonga""  ""comment_text"": ""Lovely work""}  ""7"": {""comment_id"": ""joshlovtt""  ""comment_text"": ""@joshlovtt Thank you so much!""}  ""8"": {""comment_id"": ""kuri_nihonga""  ""comment_text"": ""とってもかわいらしい😍😍😍""}  ""9"": {""comment_id"": ""robou.no.hana.2""  ""comment_text"": ""@robou.no.hana.2 ありがとうございます😊""}  ""10"": {""comment_id"": ""kuri_nihonga""  ""comment_text"": ""Very beautiful detail""}  ""11"": {""comment_id"": ""amysgrandpacat""  ""comment_text"": ""@amysgrandpacat Thank you!😍""}  ""12"": {""comment_id"": ""kuri_nihonga""  ""comment_text"": ""High gradest super art 🤩 💕""}  ""13"": {""comment_id"": ""tengcunzheng""  ""comment_text"": ""@tengcunzheng Thank you!""}  ""14"": {""comment_id"": ""kuri_nihonga""  ""comment_text"": ""洋梨一つからこんなに、色が引き出せる❗""}  ""15"": {""comment_id"": ""cat3.1013""  ""comment_text"": ""@cat3.1013 虫眼鏡で見るようにモチーフを見て描いています。ありがとうございます😊""}  ""16"": {""comment_id"": ""kuri_nihonga""  ""comment_text"": ""素敵な絵ですね😃""}  ""17"": {""comment_id"": ""sayouokemoto""  ""comment_text"": ""@sayouokemoto ありがとうございます😊""}  ""18"": {""comment_id"": ""kuri_nihonga""  ""comment_text"": ""😍素敵です。\n本物を拝見したいです。""}  ""19"": {""comment_id"": ""kemeko.i""  ""comment_text"": ""@kemeko.i ありがとうございます。こちらの作品はもう手元に無いのですか、今後の展示で新たな作品をご覧頂ける機会があれば嬉しいです。""}  ""20"": {""comment_id"": ""kuri_nihonga""  ""comment_text"": ""❤️❤️❤️""}  ""21"": {""comment_id"": ""projekt_fotography""  ""comment_text"": ""@projekt_fotography 🙌🙌🙌""}  ""22"": {""comment_id"": ""kuri_nihonga""  ""comment_text"": ""@kuri_nihonga welcome 😊😊✨""}  ""23"": {""comment_id"": ""projekt_fotography""  ""comment_text"": ""Wonderful art piece (not sure about this framing tho)""}  ""24"": {""comment_id"": ""tired_nemesis""  ""comment_text"": ""@tired_nemesis Thank you.""}  ""25"": {""comment_id"": ""kuri_nihonga""  ""comment_text"": ""私も、絵をかきますオイルバステルは、面白いです涅はっしよくがいいです、⭕""}  ""26"": {""comment_id"": ""cat3.1013""  ""comment_text"": ""@cat3.1013 オイルパステルは色も良いですし描きやすい画材ですよね😊""}  ""27"": {""comment_id"": ""kuri_nihonga""  ""comment_text"": ""栗原さんの作品❤️大好きです。次の個展も楽しみにしています。""}  ""28"": {""comment_id"": ""keiii963""  ""comment_text"": ""@keiii963 ありがとうございます😊今後ともどうぞよろしくお願いします！🙌""}  ""29"": {""comment_id"": ""kuri_nihonga""  ""comment_text"": "":D""}}"
Another piece of this beautiful pear wood found in the freezer and thawed then the ax and now ready to carve a spoon out of🤗The axe is of course a @kalthoffaxes 😍Wish you all a lovely day🥰,"{""1"": {""comment_id"": ""carvedbyheart""  ""comment_text"": ""Another piece of this beautiful pear wood  found in the freezer and thawed  then the ax and now ready to carve a spoon out of🤗\n\nThe axe is of course a @kalthoffaxes 😍\n\nWish you all a lovely day🥰""}  ""2"": {""comment_id"": ""carvedbyheart""  ""comment_text"": ""There is nothing better than a kalthoff axe 😍""}  ""3"": {""comment_id"": ""percivalwoodwork""  ""comment_text"": ""@percivalwoodwork I think you’re absolutely right Percy🤗. At least I haven’t tried anything that’s even near it😉😍""}  ""4"": {""comment_id"": ""carvedbyheart""  ""comment_text"": ""@carvedbyheart i bought one three years ago and shortly after I bought the second one 😂""}  ""5"": {""comment_id"": ""percivalwoodwork""  ""comment_text"": ""@percivalwoodwork 😂… Way to go👌😁""}  ""6"": {""comment_id"": ""carvedbyheart""  ""comment_text"": ""#spooncarving #greenwood #treen #kitchen #pear #eater #carving #spoon #sloyd #sløjd #handtoolsonly ##woodlove #woodwork #handmade #madebyhand #carvedbyheart""}}"
Need more hands…...#love #live #art #shells #sheller #beachcomber #islandlife #sand #ocean #selfcolllected #seashells #whelk #sharkeye #channeledwhelk #pear-whelk #oceanvibes #shellobsessed #iloveshelling #coast #coastal #obxshells #shelljunkies,"{""1"": {""comment_id"": ""shelljunkies""  ""comment_text"": ""Need more hands…\n.\n.\n.\n\n#love #live #art #shells #sheller #beachcomber #islandlife #sand #ocean #selfcolllected #seashells #whelk #sharkeye #channeledwhelk #pear-whelk #oceanvibes #shellobsessed #iloveshelling #coast #coastal #obxshells #shelljunkies""}  ""2"": {""comment_id"": ""shelljunkies""  ""comment_text"": ""Oh my those are gorgeous 😍🐚🐚""}  ""3"": {""comment_id"": ""shells_galore""  ""comment_text"": ""@shells_galore Thanks!😍""}  ""4"": {""comment_id"": ""shelljunkies""  ""comment_text"": ""Where are you i will be right there !!!!""}  ""5"": {""comment_id"": ""lucianimccorkle""  ""comment_text"": ""@lucianimccorkle 😂 Thanks!""}  ""6"": {""comment_id"": ""shelljunkies""  ""comment_text"": ""Love them so much! 🤩🌀""}  ""7"": {""comment_id"": ""shells4days""  ""comment_text"": ""@shells4days Thanks!😍""}  ""8"": {""comment_id"": ""shelljunkies""  ""comment_text"": ""That's a good problem to have! ☺🐚❤""}  ""9"": {""comment_id"": ""shelling_obx2tx""  ""comment_text"": ""@shelling_obx2tx 😂Thanks!😍""}  ""10"": {""comment_id"": ""shelljunkies""  ""comment_text"": ""Beauties!!""}  ""11"": {""comment_id"": ""leafmetheshellalone""  ""comment_text"": ""@leafmetheshellalone Thanks!😍""}  ""12"": {""comment_id"": ""shelljunkies""  ""comment_text"": ""Awesome❤️""}  ""13"": {""comment_id"": ""islandtimebuxton""  ""comment_text"": ""@islandtimebuxton Thanks!😍""}  ""14"": {""comment_id"": ""shelljunkies""  ""comment_text"": ""💕""}  ""15"": {""comment_id"": ""iwedthesea""  ""comment_text"": ""@iwedthesea Thx!""}  ""16"": {""comment_id"": ""shelljunkies""  ""comment_text"": ""Loveeeeeeeee ❤️❤️❤️❤️❤️❤️❤️❤️❤️""}  ""17"": {""comment_id"": ""luciane.csil""  ""comment_text"": ""@luciane.csil Thanks!""}  ""18"": {""comment_id"": ""shelljunkies""  ""comment_text"": ""Beautiful trio! ❤️🐚""}  ""19"": {""comment_id"": ""_jenrick""  ""comment_text"": ""Do you sell them? If so  how much for 1?""}  ""20"": {""comment_id"": ""anamermaidfg""  ""comment_text"": ""Love following your amazing posts! Curious- when you post  for example like today  a picture of 3 perfect channeled whelks with the location Shackleford Banks  does that mean you found all of these at Shack today? And 3 days ago  did you find 4 perfect Scotch Bonnets in “Georgia”? As a veteran NC sheller  I am so amazed at your luck!! Need some shelling tips please!""}}"
Club Jasmin open today to celebrate the small victories this week. The songs definitely an oldie but always makes me wanna dance. What are your little victories from this week? #celebratethelittlethings #danceitout #danzakuduro #clubjasmin #shakeit #shakewhatyourmommagaveya #bbw #bbwpear #bbwpearshaped #pear #pearshaped #pearbbw #pearshapedbbw #ssbbw #ssbbwpearshape,"{""1"": {""comment_id"": ""jazzy_pear""  ""comment_text"": ""Club Jasmin open today to celebrate the small victories this week. The songs definitely an oldie but always makes me wanna dance. What are your little victories from this week? #celebratethelittlethings #danceitout #danzakuduro #clubjasmin #shakeit #shakewhatyourmommagaveya #bbw #bbwpear #bbwpearshaped #pear #pearshaped #pearbbw #pearshapedbbw #ssbbw #ssbbwpearshape""}  ""2"": {""comment_id"": ""jazzy_pear""  ""comment_text"": ""Danza Kaduro was YUGE when I was in Spain in 2012!""}  ""3"": {""comment_id"": ""_kfd_""  ""comment_text"": ""@jazzy_pear it was drinking sangria on the beach  smoking Cohibas and partying until sunrise! Small victories this week? Got some parts installed on the truck  didn't wreck the Challenger  but I think I'm getting sick again. 🤬""}  ""4"": {""comment_id"": ""_kfd_""  ""comment_text"": ""@jazzy_pear nice song you like you""}  ""5"": {""comment_id"": ""rupinder.tiwana.790""  ""comment_text"": ""@rupinder.tiwana.790 I bet she does like her. Don't you like you?""}  ""6"": {""comment_id"": ""_kfd_""  ""comment_text"": ""My kind of club ;)""}  ""7"": {""comment_id"": ""robindiepman""  ""comment_text"": ""Dancing queen look amazing hugs from México 😘♥️😘♥️😘♥️😘♥️😘♥️😘♥️😘♥️😘♥️😘♥️😘♥️😘♥️😘♥️😘♥️😘♥️😘♥️😘♥️😘♥️😘♥️😘♥️😘♥️😘♥️😘♥️😘♥️😘♥️😘♥️😘♥️😘♥️😘♥️😘♥️😘♥️😘""}  ""8"": {""comment_id"": ""serchramcerv""  ""comment_text"": ""😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍""}  ""9"": {""comment_id"": ""puga7105""  ""comment_text"": ""😘😘😘😘❤️❤️❤️🥰🥰🥰💞💞💞💞💙💙💙💕💕💙😂😂👏👏👏👏""}  ""10"": {""comment_id"": ""imedmehdbi""  ""comment_text"": ""Some of the best hips!!!😍😍😍😍😘 ever too❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️""}  ""11"": {""comment_id"": ""bruce_manos""  ""comment_text"": ""😍😍😍😍😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋🥒🥒🥒🥒🥒""}  ""12"": {""comment_id"": ""joseitomadeinlima""  ""comment_text"": ""🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰""}  ""13"": {""comment_id"": ""frankiflores3110""  ""comment_text"": ""So beautiful sweetheart I like the way you move 😍😍😍😍😍😍😍😍""}  ""14"": {""comment_id"": ""jasont729""  ""comment_text"": ""Looking good babygirl 🥰😍🥰💞""}  ""15"": {""comment_id"": ""vicentez8z""  ""comment_text"": ""😍😍😍😍😍🔥🔥🔥🔥🔥wow nice""}  ""16"": {""comment_id"": ""cla77779661""  ""comment_text"": ""You're beautiful ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️""}  ""17"": {""comment_id"": ""eugenelindsey8""  ""comment_text"": ""So lovely you dace very well 😘 ❤ 💖""}  ""18"": {""comment_id"": ""lyio_n""  ""comment_text"": ""😍😍😍😍😍😍❤️beautiful""}  ""19"": {""comment_id"": ""jose.alverto.7731247""  ""comment_text"": ""😍😍😍😍😍😍😍😍uauauaua""}  ""20"": {""comment_id"": ""leandro.alex.sousa2017""  ""comment_text"": ""Jazzy P I like your moves Waiter goal starting May 1🔥🔥‼️🎭🎭""}  ""21"": {""comment_id"": ""sc.7369""  ""comment_text"": ""I want VIP to this club!💯😉🌹""}  ""22"": {""comment_id"": ""luminous_pace""  ""comment_text"": ""La Mano arriba 🙌🏿""}  ""23"": {""comment_id"": ""yngppichmpgne""  ""comment_text"": ""😍😍😍😍😍😍😍❤️❤️❤️❤️❤️❤️😍😍""}  ""24"": {""comment_id"": ""benjisanic""  ""comment_text"": ""❤️❤️❤️🔥🔥🔥🔥🔥🔥🔥""}}"
〜スターバックス〜『洋梨とアップルのカスタードシブーストケーキ＆スターバックスラテ』組み合わせ◎。そして、このケーキはとても美味しい！フルーツがたくさん入っていて、カスタードは甘すぎず、最高でした。#長崎#スタバ#スターバックス#コーヒー#スターバックスラテ#洋梨#アップル#カスタード#シブースト#ケーキ#カフェ#カフェ巡り#長崎カフェ#長崎グルメ#グルメ#デザート#スイーツ#休日の過ごし方#nagasaki#starbucks#coffee#latte#cake#pear#apple#custard#cafe#gourmet#sweets#holiday,"{""1"": {""comment_id"": ""sangenjayadeaimasho""  ""comment_text"": ""〜スターバックス〜\n『洋梨とアップルのカスタードシブーストケーキ＆スターバックスラテ』\n\n組み合わせ◎。\nそして、このケーキはとても美味しい！フルーツがたくさん入っていて、カスタードは甘すぎず、最高でした。\n\n#長崎\n#スタバ\n#スターバックス\n#コーヒー\n#スターバックスラテ\n#洋梨\n#アップル\n#カスタード\n#シブースト\n#ケーキ\n#カフェ\n#カフェ巡り\n#長崎カフェ\n#長崎グルメ\n#グルメ\n#デザート\n#スイーツ\n#休日の過ごし方\n#nagasaki\n#starbucks\n#coffee\n#latte\n#cake\n#pear\n#apple\n#custard\n#cafe\n#gourmet\n#sweets\n#holiday""}  ""2"": {""comment_id"": ""sangenjayadeaimasho""  ""comment_text"": ""私もすきです😍美味しすぎますよね👏""}  ""3"": {""comment_id"": ""mainichimazegohan""  ""comment_text"": ""美味しそうです🍎🍰☕️☺️🫶💕""}  ""4"": {""comment_id"": ""robamimi6""  ""comment_text"": ""@robamimi6 さん\nおはようございます😊\n是非食べてみてください🍰\nめちゃくちゃおいしいです😆""}  ""5"": {""comment_id"": ""sangenjayadeaimasho""  ""comment_text"": ""❤️Promote it on 👉 @_____thecakefairy""}}"
Double trouble ⁠⁠PEAR SYE5⁠⁠via @theonewhoknows @u.dig_official⁠⁠#graffiti #graff #pear #sey5 #rollergraffiti #nycgraffiti #graffitistyle #graffitiart #graffitiporn #graffitiletters #lettering ⁠,"{""1"": {""comment_id"": ""bombingsci""  ""comment_text"": ""Double trouble ⁠\n⁠\nPEAR SYE5⁠\n⁠\nvia @theonewhoknows @u.dig_official⁠\n⁠\n#graffiti #graff #pear #sey5 #rollergraffiti #nycgraffiti #graffitistyle #graffitiart #graffitiporn #graffitiletters #lettering ⁠""}  ""2"": {""comment_id"": ""bombingsci""  ""comment_text"": ""🔥🔥🔥""}  ""3"": {""comment_id"": ""charlieducket""  ""comment_text"": ""That DEXA throwie was there for a long time. It's a shame.""}  ""4"": {""comment_id"": ""_wash_your_hands""  ""comment_text"": ""💥💪🏽🏆🔥🏆🔥""}  ""5"": {""comment_id"": ""bgdaev""  ""comment_text"": ""🔥""}}"
🇫🇷La galette poire pear galette (Western France)🍐The French pastry you need to try! The center of the dessert is filled with frangipane a cream made from sweet almonds butter eggs and fruits. It’s one of the most beloved dishes in the French cuisine🥰🍏As a nutritionist I promote healthy lifestyle. Personally I don’t follow any diet (in my opinion perfect diet doesn’t exist) my food is based on natural least processed ingredients. I choose organic seasonal products if possible from local farmers. The closer to nature the better. I limit highly refined sugar prefer home made food however at the same time I strongly believe that moderation is a key. That’s why once in a while I do eat „unhealthy” goodies. As long as it is not a routine it’s not going to destroy your well-being😜Theme „Balance” balance your diet#mymoodymonday@slow.food.studio@mine.table@gourmetglowTheme „Layers” #ourmonthlyfoodstory @thebakingboutique1 @foodtography.with.monique @gourmetglow @besteverbackdropsMEMORIES pears always remind me of my garden in Europe where I spent most of my childhood so many unforgettable memories🥰#lensandtable #lat_may22@lensandtable @harshasipani @the.urban.bun @barborabareticbakery @thesaltybiscottishop#frenchcuisinethemeweek #galette #frenchdesserts #raw_sweets_ #raw_sweets #raw_community_member #bestsweets #deliciousdesserts #coffeeandsweets #foodphotos #foodstyling #artfood #fotografiakulinarna #nasłodko #pear #bestpastry #homebaking #bakedgoods #coffeetime,"{""1"": {""comment_id"": ""bewellrecipe""  ""comment_text"": ""🇫🇷La galette poire  pear galette (Western France)🍐\nThe French pastry you need to try! The center of the dessert is filled with frangipane  a cream made from sweet almonds  butter  eggs and fruits. It’s one of the most beloved dishes in the French cuisine🥰\n\n🍏As a nutritionist I promote healthy lifestyle. Personally I don’t follow any diet (in my opinion perfect diet doesn’t exist)  my food is based on natural  least processed ingredients. I choose organic  seasonal products  if possible from local farmers. The closer to nature  the better. I limit highly refined sugar  prefer home made food  however at the same time I strongly believe that moderation is a key. That’s why once in a while I do eat „unhealthy” goodies. As long as it is not a routine it’s not going to destroy your well-being😜\n\nTheme „Balance”  balance your diet\n#mymoodymonday\n@slow.food.studio\n@mine.table\n@gourmetglow\n\nTheme „Layers” #ourmonthlyfoodstory @thebakingboutique1 @foodtography.with.monique @gourmetglow @besteverbackdrops\n\nMEMORIES  pears always remind me of my garden in Europe  where I spent most of my childhood  so many unforgettable memories🥰\n#lensandtable #lat_may22\n@lensandtable @harshasipani @the.urban.bun @barborabareticbakery @thesaltybiscottishop\n\n#frenchcuisinethemeweek #galette #frenchdesserts #raw_sweets_ #raw_sweets #raw_community_member #bestsweets #deliciousdesserts #coffeeandsweets #foodphotos #foodstyling #artfood #fotografiakulinarna #nasłodko #pear #bestpastry #homebaking #bakedgoods #coffeetime""}  ""2"": {""comment_id"": ""bewellrecipe""  ""comment_text"": ""Looks exciting👏😍""}  ""3"": {""comment_id"": ""tarifeozgubu""  ""comment_text"": ""@tarifeozgubu many thanks😍""}  ""4"": {""comment_id"": ""bewellrecipe""  ""comment_text"": ""@bewellrecipe 💕💕""}  ""5"": {""comment_id"": ""tarifeozgubu""  ""comment_text"": ""Wow! This is fantastic 👏😍""}  ""6"": {""comment_id"": ""little_squares_of_tranquilitea""  ""comment_text"": ""@little_squares_of_tranquilitea 💕💕""}  ""7"": {""comment_id"": ""bewellrecipe""  ""comment_text"": ""Looks so good as usual 😍""}  ""8"": {""comment_id"": ""cloedis_sweet_corner""  ""comment_text"": ""@cloedis_sweet_corner Thank you💕""}  ""9"": {""comment_id"": ""bewellrecipe""  ""comment_text"": ""Do lovely 🍐🍐🍐""}  ""10"": {""comment_id"": ""andreakoever""  ""comment_text"": ""@andreakoever Thank you💕💕""}  ""11"": {""comment_id"": ""bewellrecipe""  ""comment_text"": ""👏👏👏""}  ""12"": {""comment_id"": ""larigeibfood""  ""comment_text"": ""@larigeibfood 😘😘😘""}  ""13"": {""comment_id"": ""bewellrecipe""  ""comment_text"": ""Looks delicious 🤤""}  ""14"": {""comment_id"": ""sama.artsy.lens""  ""comment_text"": ""@sama.artsy.lens 😘""}  ""15"": {""comment_id"": ""bewellrecipe""  ""comment_text"": ""😍❤️""}  ""16"": {""comment_id"": ""yuvianda.work""  ""comment_text"": ""@yuvianda.work 💕💕""}  ""17"": {""comment_id"": ""bewellrecipe""  ""comment_text"": ""All your post are beautiful and eye- catching👏👏👏👏❤️❤️❤️""}  ""18"": {""comment_id"": ""nazkhatooooooon""  ""comment_text"": ""@nazkhatooooooon Thank you so much  appreciate it❤️""}  ""19"": {""comment_id"": ""bewellrecipe""  ""comment_text"": ""So good 😍""}  ""20"": {""comment_id"": ""lawoflivingwellpod""  ""comment_text"": ""@lawoflivingwellpod Thank you😘""}  ""21"": {""comment_id"": ""bewellrecipe""  ""comment_text"": ""wow  lovely 😍😍😍""}  ""22"": {""comment_id"": ""rose.___.photography""  ""comment_text"": ""@rose.___.photography Thank you😘""}  ""23"": {""comment_id"": ""bewellrecipe""  ""comment_text"": ""I also think so after trying almost all forms of food  I came to the conclusion that it's all a matter of balancing calories consumed and expended😄😄Of course with the necessary adaptations  in the case of bullking or cutting""}  ""24"": {""comment_id"": ""carlos.jorge.almas""  ""comment_text"": ""@carlos.jorge.almas definitely a good conclusion😀😘""}  ""25"": {""comment_id"": ""bewellrecipe""  ""comment_text"": ""They are such a beautiful treat!""}  ""26"": {""comment_id"": ""mgracebakeshop""  ""comment_text"": ""@mgracebakeshop Thank you😘""}  ""27"": {""comment_id"": ""bewellrecipe""  ""comment_text"": ""Wonderful 😍""}  ""28"": {""comment_id"": ""teresamyy""  ""comment_text"": ""@teresamyy Thank you so much😘😘😘""}  ""29"": {""comment_id"": ""bewellrecipe""  ""comment_text"": ""Amazing!! These look so tasty and I love how the one looks like a crown!""}  ""30"": {""comment_id"": ""jackisteelphotos""  ""comment_text"": ""@jackisteelphotos Thank you😘😘""}  ""31"": {""comment_id"": ""bewellrecipe""  ""comment_text"": ""🤩❤""}  ""32"": {""comment_id"": ""negar_naseri85""  ""comment_text"": ""@negar_naseri85 😘😘""}  ""33"": {""comment_id"": ""bewellrecipe""  ""comment_text"": ""I love pear 🍐 😍😍""}  ""34"": {""comment_id"": ""pegah_pastry""  ""comment_text"": ""@pegah_pastry me too😍""}  ""35"": {""comment_id"": ""bewellrecipe""  ""comment_text"": ""So beautiful 😍""}  ""36"": {""comment_id"": ""food.ibi""  ""comment_text"": ""@food.ibi Thank you😘""}  ""37"": {""comment_id"": ""bewellrecipe""  ""comment_text"": ""looks very tasty😍😍😍🔥🔥""}  ""38"": {""comment_id"": ""moonnur_kitchen""  ""comment_text"": ""@moonnur_kitchen Thank you😘""}  ""39"": {""comment_id"": ""bewellrecipe""  ""comment_text"": ""❤😘😘""}  ""40"": {""comment_id"": ""ren.ren37""  ""comment_text"": ""😍😍""}  ""41"": {""comment_id"": ""food_nature_clicks""  ""comment_text"": ""@food_nature_clicks 💕💕""}}"
2.5ct Radiant Pink Diamond Ring 💞...#earrings #necklace #ring #pear #pearshape #engagement #engagementring #rings #jewelry #jewelrymodel #bridal #bridalcollection #sparkles #onlineshopping #diamonds,"{""1"": {""comment_id"": ""vechler""  ""comment_text"": ""2.5ct Radiant Pink Diamond Ring 💞\n.\n.\n.\n\n#earrings #necklace #ring #pear #pearshape #engagement #engagementring #rings #jewelry #jewelrymodel #bridal #bridalcollection #sparkles #onlineshopping #diamonds""}  ""2"": {""comment_id"": ""vechler""  ""comment_text"": ""Beautiful 😍""}  ""3"": {""comment_id"": ""ashna_muhammad5840""  ""comment_text"": ""nice 😍❤️""}  ""4"": {""comment_id"": ""alyans_classic""  ""comment_text"": ""🔥🔥🔥""}  ""5"": {""comment_id"": ""galbenhamo""  ""comment_text"": ""😍😍😍😍""}}"
The family orchard is looking great this year can't wait to eat all that fruit 🍒🍐🍎 #suffolk #orchard #familyfarm #organic #fruittrees #summer #apple #cherries #plum #pear,"{""1"": {""comment_id"": ""alexanderfrost1992""  ""comment_text"": ""The family orchard is looking great this year  can't wait to eat all that fruit 🍒🍐🍎 #suffolk #orchard #familyfarm #organic #fruittrees #summer #apple #cherries #plum #pear""}}"
