main_text,comment
Mixing in a little bit of wood with the Zenitco just hits different.📸@aviatorsarmory#ak74 #545x39 #7n6 #poisonbullet #akm #ak47 #ak105 #ak12 #762x39 #volk #akchestrig #rangergreen #microchestrig #placard #platecarrier #spiritussystems #lv119 #eotech #hws #zenitco #plum #bakelite #parashootergear #kalashnikov #kalash #avtomatkalashnikova #akoperator,"{""1"": {""comment_id"": ""parashootergear""  ""comment_text"": ""Mixing in a little bit of wood with the Zenitco just hits different.\n\n📸@aviatorsarmory\n\n#ak74 #545x39 #7n6 #poisonbullet #akm #ak47 #ak105 #ak12 #762x39 #volk #akchestrig #rangergreen #microchestrig #placard #platecarrier #spiritussystems #lv119 #eotech #hws #zenitco #plum #bakelite #parashootergear #kalashnikov #kalash #avtomatkalashnikova #akoperator""}  ""2"": {""comment_id"": ""parashootergear""  ""comment_text"": ""Beautiful AK! 🌑❤️🌑""}  ""3"": {""comment_id"": ""mysteryboizinc""  ""comment_text"": ""Yes""}  ""4"": {""comment_id"": ""firing_device_electrical_m57""  ""comment_text"": ""What muzzle device""}  ""5"": {""comment_id"": ""axnthzxny""  ""comment_text"": ""@axnthzxny ask @aviatorsarmory""}  ""6"": {""comment_id"": ""parashootergear""  ""comment_text"": ""@axnthzxny armacon wolf""}}"
🥞Kaiserschmarrn czyli omlet cesarski🥞✅3 jajka✅70 g mąki pszennej✅60 g mleka✅Opakowanie cukru wanilinowegoRozgrzewamy patelnię z dwoma łyżkami masła klarowanego. W jednej misce ubijamy białka jaj na sztywną pianę. W drugiej misce mieszamy mikserem żółtka jaj mąkę mleko i cukier wanilinowy. Dodajmy ubite białka jaj i delikatnie łączymy łyżką. Przelewamy na patelnię i smażymy na małym ogniu. Po kilku minutach przewracamy omlet na drugą stronę i rozrywamy na kawałki i smażymy jeszcze chwilkę. Przekładamy na talerz posypujemy cukrem pudrem i dodajemy owoce i ciasteczka Oreo#kaiserschmarrn #omlet #omletcesarski #deutschland #österreich #lecker #gesundessen #gesundeernährung #pyszności #omelette #fit #fitfood #sehrlustig #baton #protein #proteinbar #healthychoices #healthylifestyle #healthyrecipes #przepis#healthyfood #healthyliving #zdrowakuchnia #pancakes #plum #jelly #postsponsorowany,"{""1"": {""comment_id"": ""monilein91""  ""comment_text"": ""🥞Kaiserschmarrn czyli omlet cesarski🥞\n✅3 jajka\n✅70 g mąki pszennej\n✅60 g mleka\n✅Opakowanie cukru wanilinowego\nRozgrzewamy patelnię z dwoma łyżkami masła klarowanego. W jednej misce ubijamy białka jaj na sztywną pianę. W drugiej misce mieszamy mikserem żółtka jaj  mąkę  mleko i cukier wanilinowy. Dodajmy ubite białka jaj i delikatnie łączymy łyżką. Przelewamy na patelnię i smażymy na małym ogniu. Po kilku minutach przewracamy omlet na drugą stronę i rozrywamy na kawałki i smażymy jeszcze chwilkę. Przekładamy na talerz  posypujemy cukrem pudrem i dodajemy owoce i ciasteczka Oreo\n#kaiserschmarrn #omlet #omletcesarski #deutschland #österreich #lecker #gesundessen #gesundeernährung #pyszności #omelette #fit #fitfood #sehrlustig #baton #protein #proteinbar #healthychoices #healthylifestyle #healthyrecipes #przepis#healthyfood #healthyliving #zdrowakuchnia #pancakes #plum #jelly #postsponsorowany""}  ""2"": {""comment_id"": ""monilein91""  ""comment_text"": ""Muszę wypróbować 😍😍""}  ""3"": {""comment_id"": ""patrycjazieba7""  ""comment_text"": ""Obłędnie! 😍""}  ""4"": {""comment_id"": ""nieuzylamonika""  ""comment_text"": ""Fantastyczny🔥""}  ""5"": {""comment_id"": ""najmadrzejsza""  ""comment_text"": ""Obłęd 💖""}  ""6"": {""comment_id"": ""jariede_fit""  ""comment_text"": ""Ale kusisz 😍💖""}}"
- P L M S Z N -[🤖]Eat your fruits… 🇺🇸••@sureshot_usa MK3 Chassis in Plum we used varying shades of purple with black dusting to give it the same dynamic look of Plum Tula magazines.•••#banditobill #sureshotusa #mk3chassis #sureshotarmament #akpeasant #kalash #kalashlife #kalashnikov #ak74 #arsenalak #slr104fr #plum #gunsofinstagram,"{""1"": {""comment_id"": ""bandito_bill""  ""comment_text"": ""- P L M S Z N -\n[🤖]\nEat your fruits… 🇺🇸\n•\n•\n@sureshot_usa MK3 Chassis in Plum  we used varying shades of purple with black dusting to give it the same dynamic look of Plum Tula magazines.\n•\n•\n•\n#banditobill #sureshotusa #mk3chassis #sureshotarmament #akpeasant #kalash #kalashlife #kalashnikov #ak74 #arsenalak #slr104fr #plum #gunsofinstagram""}  ""2"": {""comment_id"": ""bandito_bill""  ""comment_text"": ""Is that 14.5?""}  ""3"": {""comment_id"": ""nocturnalvizions""  ""comment_text"": ""@bandito_bill pinned or nah?""}  ""4"": {""comment_id"": ""nocturnalvizions""  ""comment_text"": ""@nocturnalvizions this one yes.""}  ""5"": {""comment_id"": ""bandito_bill""  ""comment_text"": ""@bandito_bill niceeee  I’m big jealous. I need to pick me up a green and a grey MK3""}  ""6"": {""comment_id"": ""nocturnalvizions""  ""comment_text"": ""The plum is 🤤. What's the gas block you use on most of these builds""}  ""7"": {""comment_id"": ""savageford05""  ""comment_text"": ""@savageford05 I use the @jmaccustoms GBC-13""}  ""8"": {""comment_id"": ""bandito_bill""  ""comment_text"": ""Reminds me of the purple kac rails""}  ""9"": {""comment_id"": ""petey__1968""  ""comment_text"": ""@petey__1968 😂 well this wasn’t supposed to be black.""}  ""10"": {""comment_id"": ""bandito_bill""  ""comment_text"": ""What’s that’s foregrip?""}  ""11"": {""comment_id"": ""byflica""  ""comment_text"": ""@byflica @magpul kit  I’m only using the little “front” finger stop and some panels. Then there’s an @slrrifleworks Barricade stop at the front.""}  ""12"": {""comment_id"": ""bandito_bill""  ""comment_text"": ""Plum so hotttt 🤤""}  ""13"": {""comment_id"": ""goon_tape""  ""comment_text"": ""Hubba hubba😍""}  ""14"": {""comment_id"": ""dochollywood_actually""  ""comment_text"": ""😍 that's dope""}  ""15"": {""comment_id"": ""supertonggi""  ""comment_text"": ""My fave of yours. 🔥🔥🔥""}  ""16"": {""comment_id"": ""rarrieta82""  ""comment_text"": ""🔥🔥""}  ""17"": {""comment_id"": ""boltz_n_holez""  ""comment_text"": ""The return of the window well.... the king is back baby 😢😍🔥🔥🔥""}  ""18"": {""comment_id"": ""dlnmtt""  ""comment_text"": ""Sexy🔥🔥🔥""}  ""19"": {""comment_id"": ""sir.bearx""  ""comment_text"": ""🔥🔥🔥🔥🔥🔥""}  ""20"": {""comment_id"": ""coachglue""  ""comment_text"": ""Damn son  gimme that plum😍""}  ""21"": {""comment_id"": ""spyder2fly""  ""comment_text"": ""I can feel it in MY plums 🔥""}  ""22"": {""comment_id"": ""smithereens117""  ""comment_text"": ""now that looks the shit🔥""}  ""23"": {""comment_id"": ""archangel7.62""  ""comment_text"": ""Dear lord how do you constantly outdo yourself with these?!""}  ""24"": {""comment_id"": ""zackkhoury""  ""comment_text"": ""Ohh Muh Lort that is 🔥🔥🔥🔥""}  ""25"": {""comment_id"": ""sapperwithakalash""  ""comment_text"": ""Okay… plum is top tier. I get it now""}  ""26"": {""comment_id"": ""74u.__""  ""comment_text"": ""👍👍👍👍""}  ""27"": {""comment_id"": ""shurik7506""  ""comment_text"": ""😍😍😍🔥""}}"
FOLDER FRIDAY!These 4 are my favs#ak47 #ak74 #762x39 #545x39 #fightingak #gunsofinstagram #circle10 #arsenalinc #kvar #bakelite #aklife #odgreen #plum #kalash #kalashnikov #kalashlife #folderfriday #jmaccustoms #khybercustoms #gunsdaıly #sbr #godsplaid #magpul,"{""1"": {""comment_id"": ""brewtactical""  ""comment_text"": ""FOLDER FRIDAY!\nThese 4 are my favs\n\n#ak47 #ak74 #762x39 #545x39 #fightingak #gunsofinstagram #circle10 #arsenalinc #kvar #bakelite #aklife #odgreen #plum #kalash #kalashnikov #kalashlife #folderfriday #jmaccustoms #khybercustoms #gunsdaıly #sbr #godsplaid #magpul""}  ""2"": {""comment_id"": ""brewtactical""  ""comment_text"": ""Folder Friday 🔥🔥""}  ""3"": {""comment_id"": ""beach_ballistics""  ""comment_text"": ""@beach_ballistics 👊🏻""}  ""4"": {""comment_id"": ""brewtactical""  ""comment_text"": ""Bruh!!!😮😮😮""}  ""5"": {""comment_id"": ""kalashbakes""  ""comment_text"": ""@kalashbakes 🫡""}  ""6"": {""comment_id"": ""brewtactical""  ""comment_text"": ""🔥🔥🔥""}  ""7"": {""comment_id"": ""dracomaynemike""  ""comment_text"": ""@dracomaynemike 🙏🏻""}  ""8"": {""comment_id"": ""brewtactical""  ""comment_text"": ""💪💪💪""}  ""9"": {""comment_id"": ""justin_pingman""  ""comment_text"": ""@justin_pingman 👊🏻""}  ""10"": {""comment_id"": ""brewtactical""  ""comment_text"": ""🔥🔥🔥🔥🔥""}  ""11"": {""comment_id"": ""rob_solo89""  ""comment_text"": ""@rob_solo89 🙏🏻""}  ""12"": {""comment_id"": ""brewtactical""  ""comment_text"": ""That's just beautiful""}  ""13"": {""comment_id"": ""bakelite_grips""  ""comment_text"": ""@bakelite_grips 🙏🏻""}  ""14"": {""comment_id"": ""brewtactical""  ""comment_text"": ""😎😎""}  ""15"": {""comment_id"": ""jmaccustoms""  ""comment_text"": ""@jmaccustoms 👊🏻""}  ""16"": {""comment_id"": ""brewtactical""  ""comment_text"": ""Geeeeeeez 😍😍😍""}  ""17"": {""comment_id"": ""rarrieta82""  ""comment_text"": ""@rarrieta82 🙏🏻 homie""}  ""18"": {""comment_id"": ""brewtactical""  ""comment_text"": ""Promote it on @ak_hub""}  ""19"": {""comment_id"": ""ak_hub""  ""comment_text"": ""F*#* Yeah!! 💪💪💪💪""}  ""20"": {""comment_id"": ""coldsteel_n_lead""  ""comment_text"": ""@coldsteel_n_lead Ayoooo 👊🏻""}  ""21"": {""comment_id"": ""brewtactical""  ""comment_text"": ""My phone is leaking water from the amount of drip from this post 💧""}  ""22"": {""comment_id"": ""2am_az""  ""comment_text"": ""@2am_az 🙏🏻""}  ""23"": {""comment_id"": ""brewtactical""  ""comment_text"": ""F F F F Folder Friday""}  ""24"": {""comment_id"": ""g0ddamnitjeremy""  ""comment_text"": ""@g0ddamnitjeremy 💯""}  ""25"": {""comment_id"": ""brewtactical""  ""comment_text"": ""The best pic 🔥""}  ""26"": {""comment_id"": ""gabbertsgunshop""  ""comment_text"": ""@gabbertsgunshop 🙏🏻""}  ""27"": {""comment_id"": ""brewtactical""  ""comment_text"": ""#thefantasticfour 🔥""}  ""28"": {""comment_id"": ""_foto_mojo""  ""comment_text"": ""@_foto_mojo ayooo 👊🏻""}}"
梅 @ 2022年2月20日 兵庫県高砂市#ウクライナに平和を#曽根天満宮 #高砂市#梅 #うめ #plum#ファインダー越しの私の世界#きりとった世界#写真好きな人と繋がりたい#写真を撮るのが好きな人と繋がりたい#写真を撮っている人と繋がりたい#カメラ好きな人と繋がりたい#神戸カメラ部#はなまっぷ#fleur_noblesse#rustlord_unity#nature_life_and_performer#espacio_world#loves_spain_nature#world_great#nature_and_more_by_angel#thehub_landscape#LOVES_UNITED_TEAM#photoworld_star#lost_world_treasures#tv_flowers13ー18,"{""1"": {""comment_id"": ""tacky1980""  ""comment_text"": ""梅 @ 2022年2月20日 兵庫県高砂市\n\n#ウクライナに平和を\n#曽根天満宮 #高砂市\n#梅 #うめ #plum\n#ファインダー越しの私の世界\n#きりとった世界\n#写真好きな人と繋がりたい\n#写真を撮るのが好きな人と繋がりたい\n#写真を撮っている人と繋がりたい\n#カメラ好きな人と繋がりたい\n#神戸カメラ部\n#はなまっぷ\n#fleur_noblesse\n#rustlord_unity\n#nature_life_and_performer\n#espacio_world\n#loves_spain_nature\n#world_great\n#nature_and_more_by_angel\n#thehub_landscape\n#LOVES_UNITED_TEAM\n#photoworld_star\n#lost_world_treasures\n#tv_flowers\n\n13ー18""}  ""2"": {""comment_id"": ""tacky1980""  ""comment_text"": ""Great captures and beautiful flowers ✨📸🌼🌸🌺🌟""}  ""3"": {""comment_id"": ""lee_13_48""  ""comment_text"": ""❤️🌺🌺🌺""}  ""4"": {""comment_id"": ""silvana917""  ""comment_text"": ""@silvana917 🌟🌼🌼🌼""}  ""5"": {""comment_id"": ""tacky1980""  ""comment_text"": ""🙌👏""}  ""6"": {""comment_id"": ""liangchi.kang""  ""comment_text"": ""@liangchi.kang 🙌👏""}}"
優しい日差しのサンセット🌇洞爺湖の梅林の撮影前に立ち寄った、洞爺湖畔🏕そこでは優しい日差しに照らされるオアシスがありました☺️Camera:SONY α7RIVLenz:SIGMA24-70mmF2.8F8 ISO 100 15sHDR@hy_filters_japanSoft GND16ND1000ドロップインC-PLLocation:壮瞥町2022.5@puri_freedom@sachiko50319さんが別の方に間違って声掛けてる時に、私はまだここに佇んでました😦すみません🙇いつも見て頂きありがとうございます🙇@hokkaido_mirai_note@hokkaido_lovers@goodday_hokkaido#plum#日本の絶景#α7RIV#Team_hokkaido_jp#attjapan#japan_right_now#tabigocoro#landscape#hokkaido_life#flower#こころから#lovers#hokkaidolove#landscapephotography#ひみつの絶景北海道#梅#hokkaido_love#北海道ミライノート#flowers#landscape_lovers#行き先は北海道#hokkaido_lovers#mountain#tabigocoro#北海道じゃらん春絶景フォトコンテスト2022#mountains#hokkaidolove#Snowscene#japan_right_now#壮瞥公園,"{""1"": {""comment_id"": ""mabubu1""  ""comment_text"": ""優しい日差しのサンセット🌇\n\n洞爺湖の梅林の撮影前に立ち寄った、洞爺湖畔🏕\nそこでは優しい日差しに照らされるオアシスがありました☺️\n\nCamera:SONY α7RIV\nLenz:SIGMA24-70mmF2.8\nF8 ISO 100 15s\nHDR\n@hy_filters_japan\nSoft GND16\nND1000\nドロップインC-PL\n\nLocation:壮瞥町\n2022.5\n@puri_freedom\n@sachiko50319\nさんが別の方に間違って声掛けてる時に、私はまだここに佇んでました😦\nすみません🙇\n\nいつも見て頂きありがとうございます🙇\n\n@hokkaido_mirai_note\n@hokkaido_lovers\n@goodday_hokkaido\n\n#plum\n#日本の絶景\n#α7RIV\n#Team_hokkaido_jp\n#attjapan\n#japan_right_now\n#tabigocoro\n#landscape\n#hokkaido_life\n#flower\n#こころから\n#lovers\n#hokkaidolove\n#landscapephotography\n#ひみつの絶景北海道\n#梅\n#hokkaido_love\n#北海道ミライノート\n#flowers\n#landscape_lovers\n#行き先は北海道\n#hokkaido_lovers\n#mountain\n#tabigocoro\n#北海道じゃらん春絶景フォトコンテスト2022\n#mountains\n#hokkaidolove\n#Snowscene\n#japan_right_now\n#壮瞥公園""}  ""2"": {""comment_id"": ""mabubu1""  ""comment_text"": ""きれいだー✨これは湖面は勿論だけど、木と羊蹄山に力入れたのかなー🎶""}  ""3"": {""comment_id"": ""kota.momo.miki""  ""comment_text"": ""@kota.momo.miki みきさん、ありがとうございます☺️✨お見通しですね笑""}  ""4"": {""comment_id"": ""mabubu1""  ""comment_text"": ""@kota.momo.miki 羊蹄山をくっきり見えるように現像しました☺️👏他のは特にいじらずそのままです😮""}  ""5"": {""comment_id"": ""mabubu1""  ""comment_text"": ""Loveit❤️""}  ""6"": {""comment_id"": ""juliecg98""  ""comment_text"": ""@juliecg98 Thanks☺️✨""}  ""7"": {""comment_id"": ""mabubu1""  ""comment_text"": ""美しい～❤️❤️❤️""}  ""8"": {""comment_id"": ""puri_freedom""  ""comment_text"": ""@puri_freedom ありがとうございます☺️✨公園の真下でこんな景色あってびっくりです!数少ないフィルター使いたい場面はこの場面です😂""}  ""9"": {""comment_id"": ""mabubu1""  ""comment_text"": ""なんて美しい😍😍""}  ""10"": {""comment_id"": ""takako.ikd_""  ""comment_text"": ""@takako.ikd_ ほんと癒やしの空間でした☺️✨""}  ""11"": {""comment_id"": ""mabubu1""  ""comment_text"": ""本当に美しくて優しいですね😊""}  ""12"": {""comment_id"": ""4s0737_chi""  ""comment_text"": ""@4s0737_chi コメントありがとうございます☺️✨優しい日差しで、ほんときれいですよね☺️""}  ""13"": {""comment_id"": ""mabubu1""  ""comment_text"": ""スゴい😍😍😍""}  ""14"": {""comment_id"": ""kawashun_photography""  ""comment_text"": ""@kawashun_photography しゅんさんに褒めて頂いた☺️✨これがしたくて角型フィルター買いました😂""}  ""15"": {""comment_id"": ""mabubu1""  ""comment_text"": ""❤️""}  ""16"": {""comment_id"": ""the_manoushe""  ""comment_text"": ""@the_manoushe Thanks☺️✨""}  ""17"": {""comment_id"": ""mabubu1""  ""comment_text"": ""マブブさん、こんばんは～😊 優しい夕空ですね✨ 湖面がまさに……水鏡ですね😍😍 美しいです""}  ""18"": {""comment_id"": ""tara_4283""  ""comment_text"": ""@tara_4283 たらさん、こんばんは!日差しやんわりしてていいですよね☺️湖面はNDフィルターっていって露出時間を増やすとこんな感じになります☺️""}  ""19"": {""comment_id"": ""mabubu1""  ""comment_text"": ""良い色ですね〜✨✨🤤""}  ""20"": {""comment_id"": ""kurikuri_14""  ""comment_text"": ""@kurikuri_14 りくさん、ありがとうございます☺️✨色きれいですよね✨ほんとはこの目の前の水辺の岩が特色あったんですけど、全然見えません(当然写せません)でした😂""}  ""21"": {""comment_id"": ""mabubu1""  ""comment_text"": ""そーいえば❣️私を男だと思ってたんですよね～🤣お会いできて良かったぁ😂👍""}  ""22"": {""comment_id"": ""puri_freedom""  ""comment_text"": ""@puri_freedom そうなんですよ😂はやとさんの影響で性別不詳でした😂笑　本当、失礼ました🙇私は結構女性と間違われます笑""}  ""23"": {""comment_id"": ""mabubu1""  ""comment_text"": ""Wow such a beautiful lake🙌""}  ""24"": {""comment_id"": ""e2ias""  ""comment_text"": ""Meravigliosa.... Non sai quanto mi piacerebbe visitare la tua bellissima terra❤️""}  ""25"": {""comment_id"": ""arbiter_elegantiae_dom_daddy""  ""comment_text"": ""SEND PIC ON🪐 @EARTHPIX_.IG ✅""}}"
Freshness🍇🍉🍉🍉🍉🍓🍓🍓🍓🍓🍉🍉🍉🍇🍇🍇🍇🍇🍇🍇🍇🍇🍇🍇🍇🍇🍇🍇......____________________________________🔴Follow & Tag @lebanonmoments for a chance to get featured 😍❤️ _____________________________________..#fruits#strawberries#watermelon #grapes #plum #almonds#summer#fruitsoflebanon #lebanesefood #جانرك #canerik #yummy#berries#livelovelebanon #lebanonmoments #foodie #healthy#yummylebanon#instagood#summer #lebanese_delicious_dishes#lebanontimes #beirutfood#nature#lebanontimes#lebanoneats#whatsuplebanon #lebanonspotlights#nogarlicnoonions #lebanon#beirut#foodiesofinstagram,"{""1"": {""comment_id"": ""lebanonmoments""  ""comment_text"": ""Freshness\n🍇🍉🍉🍉🍉🍓🍓🍓🍓🍓🍉🍉🍉🍇\n🍇🍇🍇🍇🍇🍇🍇🍇🍇🍇🍇🍇🍇🍇\n.\n.\n\n...\n.____________________________________\n🔴Follow & Tag @lebanonmoments for a chance to get featured 😍❤️ _____________________________________\n.\n.\n#fruits#strawberries#watermelon #grapes #plum #almonds#summer#fruitsoflebanon #lebanesefood #جانرك #canerik #yummy#berries\n#livelovelebanon #lebanonmoments #foodie #healthy#yummylebanon#instagood#summer #lebanese_delicious_dishes#lebanontimes #beirutfood#nature#lebanontimes#lebanoneats#whatsuplebanon #lebanonspotlights#nogarlicnoonions #lebanon#beirut#foodiesofinstagram""}  ""2"": {""comment_id"": ""lebanonmoments""  ""comment_text"": ""😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍""}  ""3"": {""comment_id"": ""james_c_pellaton""  ""comment_text"": ""Yummm😍😍""}  ""4"": {""comment_id"": ""cookwithroola""  ""comment_text"": ""Wow😍😋""}  ""5"": {""comment_id"": ""beautyyandthefeastt""  ""comment_text"": ""😍😋""}  ""6"": {""comment_id"": ""sierra_starlight10""  ""comment_text"": ""😍😍😍😍""}}"
サンセットの梅林と羊蹄山🗻洞爺湖を一望できる、小高い丘の梅林🌳日没後の、一面オレンジに染まる一瞬の一時🌇Camera:SONY α7RIVLenz:TAMRON70-180mmF2.8F8 ISO 100Location:壮瞥町2022.5@puri_freedom@sachiko50319さんとご一緒しました☺️手前の梅をくっきり残すために被写体深度合成するべきか悩ましい🤔梅とか桜って突き詰めると、花一つずつ現像もできるので、どこまでやれば良いのか迷走中です😮いつも見て頂きありがとうございます🙇@hokkaido_mirai_note@hokkaido_lovers@goodday_hokkaido#plum#日本の絶景#α7RIV#Team_hokkaido_jp#attjapan#japan_right_now#tabigocoro#landscape#hokkaido_life#flower#こころから#lovers#hokkaidolove#landscapephotography#ひみつの絶景北海道#梅#hokkaido_love#北海道ミライノート#flowers#landscape_lovers#行き先は北海道#hokkaido_lovers#mountain#tabigocoro#北海道じゃらん春絶景フォトコンテスト2022#mountains#hokkaidolove#Snowscene#japan_right_now#壮瞥公園,"{""1"": {""comment_id"": ""mabubu1""  ""comment_text"": ""サンセットの梅林と羊蹄山🗻\n\n洞爺湖を一望できる、小高い丘の梅林🌳\n日没後の、一面オレンジに染まる一瞬の一時🌇\n\nCamera:SONY α7RIV\nLenz:TAMRON70-180mmF2.8\nF8 ISO 100\nLocation:壮瞥町\n2022.5\n@puri_freedom\n@sachiko50319\nさんとご一緒しました☺️\n\n手前の梅をくっきり残すために被写体深度合成するべきか悩ましい🤔\n\n梅とか桜って突き詰めると、花一つずつ現像もできるので、どこまでやれば良いのか迷走中です😮\n\nいつも見て頂きありがとうございます🙇\n\n@hokkaido_mirai_note\n@hokkaido_lovers\n@goodday_hokkaido\n\n#plum\n#日本の絶景\n#α7RIV\n#Team_hokkaido_jp\n#attjapan\n#japan_right_now\n#tabigocoro\n#landscape\n#hokkaido_life\n#flower\n#こころから\n#lovers\n#hokkaidolove\n#landscapephotography\n#ひみつの絶景北海道\n#梅\n#hokkaido_love\n#北海道ミライノート\n#flowers\n#landscape_lovers\n#行き先は北海道\n#hokkaido_lovers\n#mountain\n#tabigocoro\n#北海道じゃらん春絶景フォトコンテスト2022\n#mountains\n#hokkaidolove\n#Snowscene\n#japan_right_now\n#壮瞥公園""}  ""2"": {""comment_id"": ""mabubu1""  ""comment_text"": ""コレは絶景ですね〜🌸🏔😍""}  ""3"": {""comment_id"": ""ma34c""  ""comment_text"": ""@ma34c とてもきれいでびっくりしましたよ☺️✨""}  ""4"": {""comment_id"": ""mabubu1""  ""comment_text"": ""Fantastic Pic❤️""}  ""5"": {""comment_id"": ""arbiter_elegantiae_dom_daddy""  ""comment_text"": ""@arbiter_elegantiae_dom_daddy Thankyou so much☺️✨""}  ""6"": {""comment_id"": ""mabubu1""  ""comment_text"": ""おつかれさまです🌟梅の花が、とっても綺麗😊自分のは潰れちゃってるから💦こんなに綺麗に出せたらいいのに🥺空の色も素敵すぎます～😃💕""}  ""7"": {""comment_id"": ""puri_freedom""  ""comment_text"": ""@puri_freedom ぷりさん、ありがとうございます☺️✨この梅中々色出すの難しいですよね😰露出を何回か変えつつ、色んな設定で撮ってます💡Photoshop使うとLightroom以上に色出し易いですよ!""}  ""8"": {""comment_id"": ""mabubu1""  ""comment_text"": ""Send pic👉@travel_.deck""}  ""9"": {""comment_id"": ""anil__bis9i__007""  ""comment_text"": ""Send it on🌀 @earthpix.idol""}}"
Theite (plum) leh chithak..Pic credit 📷 Lalfakawmi Chhakchhuak Cherput...#theite #plum #prunusalicina #japaneseplum #fruit #fruitstagram #theithur #thei #chilput #mizothei #mizofruit #mizoram #mizoraminsta #chithak #mizostyle,"{""1"": {""comment_id"": ""mizoraminsta""  ""comment_text"": ""Theite (plum) leh chithak\n.\n.\nPic credit 📷 Lalfakawmi Chhakchhuak Cherput\n.\n.\n.\n#theite #plum #prunusalicina #japaneseplum #fruit #fruitstagram #theithur #thei #chilput #mizothei #mizofruit #mizoram #mizoraminsta #chithak #mizostyle""}}"
#rainbowbowl #plum #kiwi #strawberry #bluberry #homecooking #goodness,"{""1"": {""comment_id"": ""monik7777""  ""comment_text"": ""#rainbowbowl #plum #kiwi #strawberry #bluberry #homecooking #goodness""}}"
