main_text,comment
𝐂𝐨𝐟𝐟𝐞𝐞 𝐋𝐞𝐦𝐨𝐧𝐚𝐝𝐞✨first of all I forgot to add syrupyou should add simple syrup😊•• ice• one lemon juice• sparkling water• coffee•Song: Re by Nils Frahm.لیموناد قهوه✨من فراموش کردم بهش شیرین‌کننده بزنم، شما یا سیروپ لیمو اضافه کنید یا سیروپ ساده💛•• یخ• آب یه دونه لیمو• آب گازدار• قهوه.,"{""1"": {""comment_id"": ""ao.homecafe""  ""comment_text"": ""𝐂𝐨𝐟𝐟𝐞𝐞 𝐋𝐞𝐦𝐨𝐧𝐚𝐝𝐞✨\nfirst of all  I forgot to add syrup\nyou should add simple syrup😊\n•\n• ice\n• one lemon juice\n• sparkling water\n• coffee\n•\nSong: Re by Nils Frahm.\nلیموناد قهوه✨\nمن فراموش کردم بهش شیرین‌کننده بزنم، شما یا سیروپ لیمو اضافه کنید یا سیروپ ساده💛\n•\n• یخ\n• آب یه دونه لیمو\n• آب گازدار\n• قهوه.""}  ""2"": {""comment_id"": ""ao.homecafe""  ""comment_text"": ""😍""}  ""3"": {""comment_id"": ""mohamadaligaroos""  ""comment_text"": ""@mohamadaligaroos 😚❤️""}  ""4"": {""comment_id"": ""ao.homecafe""  ""comment_text"": ""چه ترکیبی بشه😍😋🤌""}  ""5"": {""comment_id"": ""banicoffee""  ""comment_text"": ""@banicoffee 🤩😋""}  ""6"": {""comment_id"": ""ao.homecafe""  ""comment_text"": ""به به😍😍""}  ""7"": {""comment_id"": ""coffe.sefid""  ""comment_text"": ""@coffe.sefid ❤️قربان شما""}  ""8"": {""comment_id"": ""ao.homecafe""  ""comment_text"": ""🏷️""}  ""9"": {""comment_id"": ""ao.homecafe""  ""comment_text"": ""@ao.homecafe #coffeelemonade\n#caferecipe #coffee #coffeeaddict #latte #homecafe #homecoffee #icedcoffee #icedlatte #homecafevideo #homecafé #홈카페 #홈카페영상 #カフェ #ホームカフェ #لاته #آیسدلاته #هوم_کافه #قهوه #لیمونادقهوه""}  ""10"": {""comment_id"": ""ao.homecafe""  ""comment_text"": ""عالي🍹""}  ""11"": {""comment_id"": ""maryam_tavanay""  ""comment_text"": ""@maryam_tavanay 😍قربونت برم""}  ""12"": {""comment_id"": ""ao.homecafe""  ""comment_text"": ""😍😍😍😍""}  ""13"": {""comment_id"": ""mersim_cake_arak""  ""comment_text"": ""@mersim_cake_arak ❤️☺️""}  ""14"": {""comment_id"": ""ao.homecafe""  ""comment_text"": ""😍😍""}  ""15"": {""comment_id"": ""cafebee_bahar""  ""comment_text"": ""@cafebee_bahar 😊🧡""}  ""16"": {""comment_id"": ""ao.homecafe""  ""comment_text"": ""موفق و سربلند باشید 👏""}  ""17"": {""comment_id"": ""leader_coffeeshop""  ""comment_text"": ""@leader_coffeeshop 🧡خیلی ممنونم""}  ""18"": {""comment_id"": ""ao.homecafe""  ""comment_text"": ""@ao.homecafe به پیج ما هم سر بزنید🙌""}  ""19"": {""comment_id"": ""leader_coffeeshop""  ""comment_text"": ""@leader_coffeeshop 🙌حتماً""}  ""20"": {""comment_id"": ""ao.homecafe""  ""comment_text"": ""🔥👏فدا فارگت کردنتون😄""}  ""21"": {""comment_id"": ""fateme.jr.k""  ""comment_text"": ""@fateme.jr.k 🤭🥺قربونت برم""}}"
A true African coffee experience. Adding to Vancouver’s rich and robust coffee scene @richlandhub is a small business specializing in African coffee beans cashews tea and cocoa sourced directly from African farmers. Founder Bonny grew up in Tanzania and founded this business to give back and pay forward - empowering African communities especially women - to achieve a sustainable future. ⁠⁠#CouveSmallBiz #SupportLocal #VanWa #ShopLocal #SmallBusinessLove #NewBusiness #BIPOC #BIPOCOwned #Coffee #CoffeeRoasting #VancouverUSA #SmallBusinessMonth,"{""1"": {""comment_id"": ""vancouverus""  ""comment_text"": ""A true African coffee experience. Adding to Vancouver’s rich and robust coffee scene  @richlandhub is a small business specializing in African coffee beans  cashews  tea and cocoa sourced directly from African farmers. Founder  Bonny  grew up in Tanzania and founded this business to give back and pay forward - empowering African communities  especially women - to achieve a sustainable future. ⁠\n⁠\n#CouveSmallBiz #SupportLocal #VanWa #ShopLocal #SmallBusinessLove #NewBusiness #BIPOC #BIPOCOwned #Coffee #CoffeeRoasting #VancouverUSA #SmallBusinessMonth""}  ""2"": {""comment_id"": ""vancouverus""  ""comment_text"": ""@ktzqtz maybe some nostalgic flavors for you??""}  ""3"": {""comment_id"": ""ohnojennyo""  ""comment_text"": ""@ohnojennyo Already a regular! Love @richlandhub  they have such a great staff!""}  ""4"": {""comment_id"": ""ktzqtz""  ""comment_text"": ""@caiodimov vamos!""}  ""5"": {""comment_id"": ""renatatsutsumi""  ""comment_text"": ""Promote it on @food._adventure._""}  ""6"": {""comment_id"": ""miche.al3139""  ""comment_text"": ""Wow 😳 send pic on @coffee__lovers___""}}"
.a good time with good coffee.レーズンバターサンド。おはようございます。本日より営業日も新たにお迎え致します。エスプレッソキャラメルロールケーキも復活です。焼き菓子も2〜3種ご用意致します。今まで通りフレンチトースト、自家製プリンもございます。少しずつ以前の様なメニュー構成に戻していければと思っております。営業日が変わることでご不便を多分にお掛けしてしまいますが、毎週水曜〜土曜日の4日間宜しくお願い致します。本日もご来店お待ちしております。#norizcoffee #ノリズコーヒー#agoodtimewithgoodcoffee#coffee #コーヒー #cafe #カフェ#coffeestand #コーヒースタンド#coffeeshop #コーヒーショップ#武蔵境 #武蔵境カフェ #中央線 #中央線カフェ#coffeebreak #コーヒーブレイク,"{""1"": {""comment_id"": ""noriz.coffee""  ""comment_text"": "".\na good time with good coffee.\nレーズンバターサンド。\n\nおはようございます。\n本日より営業日も新たにお迎え致します。\nエスプレッソキャラメルロールケーキも復活です。\n焼き菓子も2〜3種ご用意致します。\n今まで通りフレンチトースト、自家製プリンもございます。\n少しずつ以前の様なメニュー構成に戻していければと思っております。\n\n営業日が変わることでご不便を多分にお掛けしてしまいますが、毎週水曜〜土曜日の4日間宜しくお願い致します。\n\n本日もご来店お待ちしております。\n\n#norizcoffee #ノリズコーヒー\n#agoodtimewithgoodcoffee\n#coffee #コーヒー #cafe #カフェ\n#coffeestand #コーヒースタンド\n#coffeeshop #コーヒーショップ\n#武蔵境 #武蔵境カフェ #中央線 #中央線カフェ\n#coffeebreak #コーヒーブレイク""}  ""2"": {""comment_id"": ""noriz.coffee""  ""comment_text"": ""本日のコーヒーのお供。\nフレンチトースト、エスプレッソキャラメルロールケーキ、自家製プリン、バナナケーキ、フィナンシェ、レーズンバターサンド。""}}"
∞：おはようございます。．喫茶日曜日、本日も11時よりオープンいたします。今週もどうぞよろしくお願いいたします。．．久しぶりにすっきりと、快晴。半袖が似合う空ですね。．．水曜日はパウンドケーキのご用意がない日です。その分マフィンはたっぷりとご用意しますので、存分にお楽しみください。．．今日の日差しはアイスコーヒー日和。喫茶日曜日では、アイスコーヒーも２種類の豆からお選びいただいております。．しっかりとした深みで後味がキリッと締まる“いつものブレンド”。．華やかな酸味の中にもしっかりとコクを感じる“日曜日のブレンド”．ホットコーヒーとはまた違った感じ方ができるかもしれません。．マフィンやケーキのお供に、お好みを見つけてくださいね。．．それでは、今日もお庭の真ん中で。珈琲とともに。いつもの場所で、お待ちしております。．．【本日のマフィン】⚫︎ティラミス(月マフィン)⚫︎ハニーレモンパイ《new》⚫︎coffee &coffee《new》⚫︎カフェモカショコラダマンド《new》⚫︎キャラメルラズベリーホワイトチョコのシナモンクランブル《new》⚫︎ダブルストロベリーチーズケーキ⚫︎苺ホワイトショコラダマンド⚫︎ヘーゼルナッツショコラダマンド⚫︎生キャラメルとエスプレッソのココアシナモンクランブル⚫︎抹茶あんことくるみキャラメリゼ⚫︎ゴロゴロくるみのキャラメルカカオ⚫︎ブルーベリーレアチーズオレンジ⚫︎林檎カスタードメイプル⚫︎クッキーチョコソルト.(ココア生地)⚫︎生チョコカカオ⚫︎ココアベリーミックス⚫︎ココアハニーとチョコナッツ．(おかずマフィン)⚫︎マスカルポーネボロネーゼ《new》⚫︎ビーフカレー《new》⚫︎ベーコンチーズブラックペッパー⚫︎トマトバジルツナ⚫︎チーズ胡麻ごぼうサラダ⚫︎ホワイトグラタン(きのこ入り)⚫︎肉みそレンコン⚫︎胡桃たまごサラダ.(パウンドケーキ)⚫︎お休みです🙇‍♀️．(ケーキ)⚫︎苺の抹茶のシフォンロール⚫︎エスプレッソシフォンロール⚫︎生キャラメルのニューヨークチーズケーキ：：：#喫茶日曜日#cafe#coffee#muffin#カフェ#津市カフェ#珈琲#マフィン#毎日が日曜日#話の続きをしよう,"{""1"": {""comment_id"": ""kissa_nichiyoubi""  ""comment_text"": ""∞\n：\nおはようございます。\n．\n喫茶日曜日、本日も11時よりオープンいたします。\n今週もどうぞよろしくお願いいたします。\n．\n．\n久しぶりにすっきりと、快晴。\n半袖が似合う空ですね。\n．\n．\n水曜日はパウンドケーキのご用意がない日です。\nその分マフィンはたっぷりとご用意しますので、存分にお楽しみください。\n．\n．\n今日の日差しはアイスコーヒー日和。\n喫茶日曜日では、アイスコーヒーも２種類の豆からお選びいただいております。\n．\nしっかりとした深みで後味がキリッと締まる\n“いつものブレンド”。\n．\n華やかな酸味の中にもしっかりとコクを感じる\n“日曜日のブレンド”\n．\nホットコーヒーとはまた違った感じ方ができるかもしれません。\n．\nマフィンやケーキのお供に、お好みを見つけてくださいね。\n．\n．\nそれでは、今日もお庭の真ん中で。\n珈琲とともに。\nいつもの場所で、お待ちしております。\n．\n．\n【本日のマフィン】\n⚫︎ティラミス(月マフィン)\n⚫︎ハニーレモンパイ《new》\n⚫︎coffee &coffee《new》\n⚫︎カフェモカショコラダマンド《new》\n⚫︎キャラメルラズベリーホワイトチョコのシナモンクランブル《new》\n⚫︎ダブルストロベリーチーズケーキ\n⚫︎苺ホワイトショコラダマンド\n⚫︎ヘーゼルナッツショコラダマンド\n⚫︎生キャラメルとエスプレッソのココアシナモンクランブル\n⚫︎抹茶あんことくるみキャラメリゼ\n⚫︎ゴロゴロくるみのキャラメルカカオ\n⚫︎ブルーベリーレアチーズオレンジ\n⚫︎林檎カスタードメイプル\n⚫︎クッキーチョコソルト\n.\n(ココア生地)\n⚫︎生チョコカカオ\n⚫︎ココアベリーミックス\n⚫︎ココアハニーとチョコナッツ\n．\n(おかずマフィン)\n⚫︎マスカルポーネボロネーゼ《new》\n⚫︎ビーフカレー《new》\n⚫︎ベーコンチーズブラックペッパー\n⚫︎トマトバジルツナ\n⚫︎チーズ胡麻ごぼうサラダ\n⚫︎ホワイトグラタン(きのこ入り)\n⚫︎肉みそレンコン\n⚫︎胡桃たまごサラダ\n.\n(パウンドケーキ)\n⚫︎お休みです🙇‍♀️\n．\n(ケーキ)\n⚫︎苺の抹茶のシフォンロール\n⚫︎エスプレッソシフォンロール\n⚫︎生キャラメルのニューヨークチーズケーキ\n：\n：\n：\n#喫茶日曜日\n#cafe\n#coffee\n#muffin\n#カフェ\n#津市カフェ\n#珈琲\n#マフィン\n#毎日が日曜日\n#話の続きをしよう""}}"
@coffeeholics_korea☕ 최고급 커피머신을 무료로 렌탈하세요- 원두커피 정기구독 서비스만 이용해도 커피머신을 무료 !- 고품질 프리미엄 원두만을 취급- 정기적인 관리 서비스 제공' 커피홀릭에 반한 열정 3000개의 기업과 함께하고 있습니다.글로벌 커피전문 기업들과 최고의 전문가 팀이 서비스를 제공합니다. '☕ 머신정기점검 및 커피 정기구독 서비스 제공☕ 프리미엄 원두 다수 브랜드 보유 (스타벅스 이디야 네스카페 등등)☕ 렌탈 정기구독 문의 및 상품 자세히보기는 프로필 링크 클릭www.coffeeholics.co.kr☆☆커피홀릭스 커피머신 렌탈 설치사례☆☆기업 입장에서 유능한 인재에게 열심히 일할 수 있도록 환경을 제공하는 것이 중요합니다. 그리고 이러한 환경을 제공하는데 가장 큰 부분을 차지하는 것이 바로 직원복지입니다.직원복지를 생각하실때 커피홀릭스 도 함께 하겠습니다.업체명: sk※※※※※머신종류: 칼럼1602사용원두: 모카5.0#커피 #Coffee #네스프레소커피 #NespressoCoffee #캡슐커피 #커피머신 #네스프레소커피머신 #에스프레소머신 #커피메이커 #커피머신렌탈 #커피스타그램 #커피타임 #사무실커피머신 #기업용커피머신 #오피스커피머신 #업소용커피머신 #오피스카페 #OfficeCafe #사무실커피 #사무실카페 #오피스인테리어 #회사간식 #탕비실,"{""1"": {""comment_id"": ""coffeeholics_korea""  ""comment_text"": ""@coffeeholics_korea\n\n☕ 최고급 커피머신을 무료로 렌탈하세요\n\n- 원두커피 정기구독 서비스만 이용해도 커피머신을 무료 !\n- 고품질 프리미엄 원두만을 취급\n- 정기적인 관리 서비스 제공\n\n' 커피홀릭에 반한 열정  3 000개의 기업과 함께하고 있습니다.\n글로벌 커피전문 기업들과 최고의 전문가 팀이 서비스를 제공합니다. '\n\n☕ 머신정기점검 및 커피 정기구독 서비스 제공\n☕ 프리미엄 원두 다수 브랜드 보유 (스타벅스  이디야  네스카페 등등)\n☕ 렌탈  정기구독 문의 및 상품 자세히보기는 프로필 링크 클릭\nwww.coffeeholics.co.kr\n\n☆☆커피홀릭스 커피머신 렌탈 설치사례☆☆\n\n기업 입장에서 유능한 인재에게 열심히 일할 수 있도록 환경을 제공하는 것이 중요합니다. 그리고 이러한 환경을 제공하는데 가장 큰 부분을 차지하는 것이 바로 직원복지입니다.\n\n직원복지를 생각하실때 커피홀릭스 도 함께 하겠습니다.\n\n업체명: sk※※※※※\n\n머신종류: 칼럼1602\n\n사용원두: 모카5.0\n\n#커피 #Coffee #네스프레소커피 #NespressoCoffee #캡슐커피 #커피머신 #네스프레소커피머신 #에스프레소머신 #커피메이커 #커피머신렌탈 #커피스타그램 #커피타임 #사무실커피머신 #기업용커피머신 #오피스커피머신 #업소용커피머신 #오피스카페 #OfficeCafe #사무실커피 #사무실카페 #오피스인테리어 #회사간식 #탕비실""}  ""2"": {""comment_id"": ""coffeeholics_korea""  ""comment_text"": ""커피머신 무료렌탈 좋은데요""}  ""3"": {""comment_id"": ""dongdong22ee""  ""comment_text"": ""우와 커피머신 너무 이쁘네요 대박이네요""}  ""4"": {""comment_id"": ""jjyon_115j""  ""comment_text"": ""오옹 넘나 좋아보여용""}  ""5"": {""comment_id"": ""bam2_vely""  ""comment_text"": ""우와 너무 좋은 제품이네요""}}"
Gianni Moramarco. Interior (2021). #art #painter #digitalartist #italianartist #italianart #italy #contemporaryartist #woman #womaninblack #seatedeoman #reading #newspaper #coffee #light #atmosphere #artlovers #dailyart #artoninstagram #instaart #artcollection #virtualart #artgallery #giannimoramarco @moramarco_gianni,"{""1"": {""comment_id"": ""mara_ernst19""  ""comment_text"": ""Gianni Moramarco. Interior (2021). #art #painter #digitalartist #italianartist #italianart #italy #contemporaryartist #woman #womaninblack #seatedeoman #reading #newspaper #coffee #light #atmosphere #artlovers #dailyart #artoninstagram #instaart #artcollection #virtualart #artgallery #giannimoramarco @moramarco_gianni""}  ""2"": {""comment_id"": ""mara_ernst19""  ""comment_text"": ""😍😍😍😍😍😍😍😍😍😍😍""}  ""3"": {""comment_id"": ""flaviamerini""  ""comment_text"": ""People still read?""}  ""4"": {""comment_id"": ""survive_ckroa""  ""comment_text"": ""Another Hopper enthusiast.""}  ""5"": {""comment_id"": ""bobmichael77""  ""comment_text"": ""Very nice! 🔥🔥🔥""}  ""6"": {""comment_id"": ""lizbethstone0317""  ""comment_text"": ""News""}  ""7"": {""comment_id"": ""nat_euzet""  ""comment_text"": ""👌""}  ""8"": {""comment_id"": ""ramblingman_richard""  ""comment_text"": ""Grazie per il riconoscimento 😉""}  ""9"": {""comment_id"": ""moramarco_gianni""  ""comment_text"": ""👏👏👏👏👏👏👏👏👏👏""}  ""10"": {""comment_id"": ""jinquanquanyang""  ""comment_text"": ""🙌👏""}  ""11"": {""comment_id"": ""moramarco_gianni""  ""comment_text"": ""Dm it on @DAILYDOSE_.ARTS 2M""}  ""12"": {""comment_id"": ""sweetu_bishnoi302""  ""comment_text"": ""Send this pic👉 @unionfit_femily""}  ""13"": {""comment_id"": ""akwal_5555""  ""comment_text"": ""Send pic❤️ @art._.of.life""}}"
[São Paulo SP] Dos melhores brunchs da cidade: @fio_deazeite❤️•Waffle ribs [R$ 4490] Waffle salgado à base de queijo costela desfiada (12h de cocção) coleslaw ovo poché e molho barbecue.•Avo mash [R$ 3490] Pão artesanal de fermentação natural tostado com manteiga avocado tomate cereja limão azeite polvilhado de queijo de cabra cremoso e ovos [mexidos poché ou fritos].•Banana bread [R$ 15] Pão feito a base de banana tostado com manteiga.•Smoothies [R$ 22]Copo de 500 ml - Açaí e Manga•Ice Latte [R$ 11]•Capuccino [R$ 15]•Chay latte (Receita do Chef) [R$ 12]🔎Busquem mais posts e reels pela hashtag #eatinfiodeazeite📍Rua Climaco Barbosa 441 - Cambuci🕘Seg. à Sex. 9-15h30Sáb. e Dom. 9-17h#brunch #ovopoche #gemamole #adoidadagemamole #avocadotoast #waffle #ribs #barbecue #bananabread #coffee #trend #latte,"{""1"": {""comment_id"": ""eatinsaopaulo""  ""comment_text"": ""[São Paulo  SP] Dos melhores brunchs da cidade: @fio_deazeite❤️\n\n•Waffle ribs [R$ 44 90] Waffle salgado à base de queijo  costela desfiada (12h de cocção)  coleslaw  ovo poché e molho barbecue.\n\n•Avo mash [R$ 34 90] Pão artesanal de fermentação natural  tostado com manteiga  avocado  tomate cereja  limão  azeite  polvilhado de queijo de cabra cremoso e ovos [mexidos poché ou fritos].\n\n•Banana bread [R$ 15] Pão feito a base de banana tostado com manteiga.\n\n•Smoothies [R$ 22]\nCopo de 500 ml - Açaí e Manga\n\n•Ice Latte [R$ 11]\n\n•Capuccino [R$ 15]\n\n•Chay latte (Receita do Chef) [R$ 12]\n\n🔎Busquem mais posts e reels pela hashtag #eatinfiodeazeite\n📍Rua Climaco Barbosa  441 - Cambuci\n🕘Seg. à Sex. 9-15h30\nSáb. e Dom. 9-17h\n\n#brunch #ovopoche #gemamole #adoidadagemamole #avocadotoast #waffle #ribs #barbecue #bananabread #coffee #trend #latte""}  ""2"": {""comment_id"": ""eatinsaopaulo""  ""comment_text"": ""😍 Que lindeza""}  ""3"": {""comment_id"": ""ficaquetemdica""  ""comment_text"": ""Eu quero ahh❤️❤️""}  ""4"": {""comment_id"": ""iguariasp""  ""comment_text"": ""😮😮😮""}  ""5"": {""comment_id"": ""bonsfluidos_""  ""comment_text"": ""👏👏👏👏👏👏👏👏👏""}  ""6"": {""comment_id"": ""cozinhadomediterraneo""  ""comment_text"": ""Que delícia de Brunch!""}  ""7"": {""comment_id"": ""gourmet.dicasa2""  ""comment_text"": ""Que brunch 👏👏 que ovo no ponto 😍😍""}  ""8"": {""comment_id"": ""mastrachefs""  ""comment_text"": ""Que delícia heim 😍""}  ""9"": {""comment_id"": ""seraquee.bom""  ""comment_text"": ""Esse waffle ribs queria mto""}  ""10"": {""comment_id"": ""asiaemsampa""  ""comment_text"": ""Nunca comi! Mas deve ser muito bom""}  ""11"": {""comment_id"": ""liliany_herminia""  ""comment_text"": ""Eita que delicia de prato 🤤""}  ""12"": {""comment_id"": ""pathymotablog""  ""comment_text"": ""Uau!!! ADOROOOOOOO!!! 😋😋😋""}  ""13"": {""comment_id"": ""noeminegreti""  ""comment_text"": ""Que delícia 😍😍 eu amooo esse lugar  são meus parceiros queridos""}  ""14"": {""comment_id"": ""dicasaclimacao""  ""comment_text"": ""Eu amo!! 😍 fui la semana passada e ja to louca pra voltar 🥺🥺🥺🥺""}  ""15"": {""comment_id"": ""sp_rimentando""  ""comment_text"": ""Que delícia""}  ""16"": {""comment_id"": ""thaisverdinutricionista""  ""comment_text"": ""Que lindo! Já quero conhecer ❤️❤️❤️❤️""}  ""17"": {""comment_id"": ""descobrindoroles""  ""comment_text"": ""Amei demais""}  ""18"": {""comment_id"": ""thaisverdinutricionista""  ""comment_text"": ""Preciso conhecer esse lugar 👏""}  ""19"": {""comment_id"": ""cibelesalesgomes""  ""comment_text"": ""O melhor! 👏""}  ""20"": {""comment_id"": ""vlromanoi""  ""comment_text"": ""Querooo! Ta anotado pra ir""}  ""21"": {""comment_id"": ""stezinhanacozinha""  ""comment_text"": ""Eu morro de vontade de ir nesse lugar de tanta foto bonita que vejo aqui 😍😍""}}"
Bidding starts at 22 (usd) for this Signed “Coffee is the Reason” Print comment with your bid below.art by @emi_boz #coffee #coffeelover #coffeeshop #coffeeaddict #coffeelovers #caffeine #coffeeholic #lovecoffee #goodmorning,"{""1"": {""comment_id"": ""gusfink""  ""comment_text"": ""Bidding starts at 22 (usd) for this Signed “Coffee is the Reason” Print comment with your bid below\n.\nart by @emi_boz #coffee #coffeelover #coffeeshop #coffeeaddict #coffeelovers #caffeine #coffeeholic #lovecoffee #goodmorning""}  ""2"": {""comment_id"": ""gusfink""  ""comment_text"": ""23$""}  ""3"": {""comment_id"": ""marquitos.03""  ""comment_text"": ""@twistedskullgirl in the lead at $22""}  ""4"": {""comment_id"": ""gusfink""  ""comment_text"": ""$22""}  ""5"": {""comment_id"": ""twistedskullgirl""  ""comment_text"": ""❤️❤️❤️""}  ""6"": {""comment_id"": ""t_phroject""  ""comment_text"": ""@evolutionofgrowth""}  ""7"": {""comment_id"": ""archnode""  ""comment_text"": ""Promote it on @foodie_.lovers_""}}"
𖤣𖤥𖥧GROS MICHEL12:00-OPEN本日も皆さまのご来店お待ちしてます☺️🎶#フレンチトースト#イチゴチョコ#藤沢𝐺𝑅𝑂𝑆 𝑀𝐼𝐶𝐻𝐸𝐿#GROSMICHEL藤沢市本町3-17-16open 12:00-17:00close 不定休#プリン#グロスミシェル#cafe#coffee#湘南カフェ#湘南#神奈川#鎌倉#いちごパフェ#藤沢カフェ#東京カフェ#カフェ巡り#神奈川カフェ#sweet#藤沢本町#湘南カフェ#パフェ#パフェ巡り#スイーツ#コーヒータイム#ヨーグルト#淡色カフェ#スイーツ巡り#カフェ好き#フルーツパフェ#いちご#パフェ,"{""1"": {""comment_id"": ""grosmichel.jp""  ""comment_text"": ""𖤣𖤥𖥧\nGROS MICHEL\n12:00-OPEN\n\n本日も皆さまのご来店お待ちしてます☺️🎶\n\n#フレンチトースト\n#イチゴチョコ\n#藤沢\n𝐺𝑅𝑂𝑆 𝑀𝐼𝐶𝐻𝐸𝐿\n#GROSMICHEL\n藤沢市本町3-17-16\nopen 12:00-17:00\nclose 不定休\n\n#プリン\n#グロスミシェル#cafe#coffee#湘南カフェ\n#湘南#神奈川#鎌倉#いちごパフェ#藤沢カフェ#東京カフェ#カフェ巡り#神奈川カフェ#sweet#藤沢本町#湘南カフェ#パフェ#パフェ巡り#スイーツ#コーヒータイム#ヨーグルト#淡色カフェ\n#スイーツ巡り#カフェ好き#フルーツパフェ#いちご#パフェ""}}"
#cute #art #nft #insta #instagram #artistic #girl #cup #coffee #coffeeart #meta #metaverse #bluehair #small #clothes,"{""1"": {""comment_id"": ""lavishaggarwal821""  ""comment_text"": ""#cute #art #nft #insta #instagram #artistic #girl #cup #coffee #coffeeart #meta #metaverse #bluehair #small #clothes""}  ""2"": {""comment_id"": ""lavishaggarwal821""  ""comment_text"": ""What is the floor price send me dm""}  ""3"": {""comment_id"": ""nft._magazine""  ""comment_text"": ""Promote it on @nft_community__""}  ""4"": {""comment_id"": ""nft_0030""  ""comment_text"": ""Dm it on @_blooming_nft 9m💙""}  ""5"": {""comment_id"": ""v.i.p.mundajagi29""  ""comment_text"": ""Promote it on @opensea.community""}  ""6"": {""comment_id"": ""ins_taqueen107""  ""comment_text"": ""Promote it on @_nft_marketplace_""}  ""7"": {""comment_id"": ""choudharymohit20220""  ""comment_text"": ""Promote in on @nft__forever""}  ""8"": {""comment_id"": ""banuda2022""  ""comment_text"": ""Dm it on @_blooming_nft 9m""}  ""9"": {""comment_id"": ""rk42308953""  ""comment_text"": ""Dm it on @_blooming_nft 9m""}}"
