main_text,comment
,"{""1"": {""comment_id"": """"  ""comment_text"": """"}  ""2"": {""comment_id"": """"  ""comment_text"": """"}  ""3"": {""comment_id"": """"  ""comment_text"": """"}  ""4"": {""comment_id"": """"  ""comment_text"": """"}  ""5"": {""comment_id"": """"  ""comment_text"": """"}  ""6"": {""comment_id"": """"  ""comment_text"": """"}  ""7"": {""comment_id"": """"  ""comment_text"": """"}  ""8"": {""comment_id"": """"  ""comment_text"": """"}  ""9"": {""comment_id"": """"  ""comment_text"": """"}  ""10"": {""comment_id"": """"  ""comment_text"": """"}  ""11"": {""comment_id"": """"  ""comment_text"": """"}  ""12"": {""comment_id"": """"  ""comment_text"": """"}  ""13"": {""comment_id"": """"  ""comment_text"": """"}  ""14"": {""comment_id"": """"  ""comment_text"": """"}}"
,"{""1"": {""comment_id"": """"  ""comment_text"": """"}  ""2"": {""comment_id"": """"  ""comment_text"": """"}  ""3"": {""comment_id"": """"  ""comment_text"": """"}  ""4"": {""comment_id"": """"  ""comment_text"": """"}}"
,"{""1"": {""comment_id"": """"  ""comment_text"": """"}  ""2"": {""comment_id"": """"  ""comment_text"": """"}  ""3"": {""comment_id"": """"  ""comment_text"": """"}  ""4"": {""comment_id"": """"  ""comment_text"": """"}}"
,"{""1"": {""comment_id"": """"  ""comment_text"": """"}  ""2"": {""comment_id"": """"  ""comment_text"": """"}  ""3"": {""comment_id"": """"  ""comment_text"": """"}  ""4"": {""comment_id"": """"  ""comment_text"": """"}  ""5"": {""comment_id"": """"  ""comment_text"": """"}}"
,"{""1"": {""comment_id"": """"  ""comment_text"": """"}  ""2"": {""comment_id"": """"  ""comment_text"": """"}}"
,"{""1"": {""comment_id"": """"  ""comment_text"": """"}  ""2"": {""comment_id"": """"  ""comment_text"": """"}  ""3"": {""comment_id"": """"  ""comment_text"": """"}  ""4"": {""comment_id"": """"  ""comment_text"": """"}  ""5"": {""comment_id"": """"  ""comment_text"": """"}  ""6"": {""comment_id"": """"  ""comment_text"": """"}}"
,"{""1"": {""comment_id"": """"  ""comment_text"": """"}  ""2"": {""comment_id"": """"  ""comment_text"": """"}  ""3"": {""comment_id"": """"  ""comment_text"": """"}  ""4"": {""comment_id"": """"  ""comment_text"": """"}  ""5"": {""comment_id"": """"  ""comment_text"": """"}  ""6"": {""comment_id"": """"  ""comment_text"": """"}  ""7"": {""comment_id"": """"  ""comment_text"": """"}  ""8"": {""comment_id"": """"  ""comment_text"": """"}  ""9"": {""comment_id"": """"  ""comment_text"": """"}}"
,"{""1"": {""comment_id"": """"  ""comment_text"": """"}  ""2"": {""comment_id"": """"  ""comment_text"": """"}  ""3"": {""comment_id"": """"  ""comment_text"": """"}}"
,"{""1"": {""comment_id"": """"  ""comment_text"": """"}  ""2"": {""comment_id"": """"  ""comment_text"": """"}}"
,"{""1"": {""comment_id"": """"  ""comment_text"": """"}  ""2"": {""comment_id"": """"  ""comment_text"": """"}  ""3"": {""comment_id"": """"  ""comment_text"": """"}}"
,"{""1"": {""comment_id"": """"  ""comment_text"": """"}  ""2"": {""comment_id"": """"  ""comment_text"": """"}  ""3"": {""comment_id"": """"  ""comment_text"": """"}  ""4"": {""comment_id"": """"  ""comment_text"": """"}  ""5"": {""comment_id"": """"  ""comment_text"": """"}}"
,"{""1"": {""comment_id"": """"  ""comment_text"": """"}}"
,"{""1"": {""comment_id"": """"  ""comment_text"": """"}}"
,"{""1"": {""comment_id"": """"  ""comment_text"": """"}}"
,"{""1"": {""comment_id"": """"  ""comment_text"": """"}}"
,"{""1"": {""comment_id"": """"  ""comment_text"": """"}  ""2"": {""comment_id"": """"  ""comment_text"": """"}  ""3"": {""comment_id"": """"  ""comment_text"": """"}}"
,"{""1"": {""comment_id"": """"  ""comment_text"": """"}  ""2"": {""comment_id"": """"  ""comment_text"": """"}}"
,"{""1"": {""comment_id"": """"  ""comment_text"": """"}  ""2"": {""comment_id"": """"  ""comment_text"": """"}  ""3"": {""comment_id"": """"  ""comment_text"": """"}  ""4"": {""comment_id"": """"  ""comment_text"": """"}  ""5"": {""comment_id"": """"  ""comment_text"": """"}}"
,"{""1"": {""comment_id"": """"  ""comment_text"": """"}}"
,"{""1"": {""comment_id"": """"  ""comment_text"": """"}}"
,"{""1"": {""comment_id"": """"  ""comment_text"": """"}  ""2"": {""comment_id"": """"  ""comment_text"": """"}  ""3"": {""comment_id"": """"  ""comment_text"": """"}}"
,"{""1"": {""comment_id"": """"  ""comment_text"": """"}}"
,"{""1"": {""comment_id"": """"  ""comment_text"": """"}}"
,"{""1"": {""comment_id"": """"  ""comment_text"": """"}  ""2"": {""comment_id"": """"  ""comment_text"": """"}}"
,"{""1"": {""comment_id"": """"  ""comment_text"": """"}}"
,"{""1"": {""comment_id"": """"  ""comment_text"": """"}}"
,"{""1"": {""comment_id"": """"  ""comment_text"": """"}}"
,"{""1"": {""comment_id"": """"  ""comment_text"": """"}  ""2"": {""comment_id"": """"  ""comment_text"": """"}}"
,"{""1"": {""comment_id"": """"  ""comment_text"": """"}}"
farmers right#farmer #farmers #kisan #agriculturefuture🌾🌾 #agriculture #khetibadi🌱🌾 #kisanektazindabaad#rajsthan #up #mp #sawaimadhopur #jaipur #gujarati #indian #rahul_shrimali_official #pappyagaikwad #dolandas77 #hashtag #future #animal #wheat #vidhut #ajmer #tag #viral#solution,"{""1"": {""comment_id"": ""farmer_life_agri""  ""comment_text"": ""farmers right\n#farmer #farmers #kisan #agriculturefuture🌾🌾 #agriculture #khetibadi🌱🌾 #kisanektazindabaad\n#rajsthan #up #mp #sawaimadhopur #jaipur #gujarati #indian #rahul_shrimali_official #pappyagaikwad #dolandas77 #hashtag #future #animal #wheat #vidhut #ajmer #tag #viral\n#solution""}  ""2"": {""comment_id"": ""farmer_life_agri""  ""comment_text"": ""🌾🌾""}  ""3"": {""comment_id"": ""prakash_10k""  ""comment_text"": ""🌾🌾🌾""}  ""4"": {""comment_id"": ""prakash_10k""  ""comment_text"": ""🌾🌾🌾🌾""}}"
Praba ImpexBASMATI RICE Exporters & Suppliers.Let Us Help You Need. Contact a Trusted Supplier & Exporter Today!Contact Us:http://prabaimpex.com/Mob. 7867945833#prabaimpex #rice #waxmatchbox #biscuit #salt #woodenmatchbox #sugar #sweet #food #chocolate #dessert #cake #love #yummy #foodporn #sweets #delicious #foodie #whitesugar #rice #wheat #pusa1121basmatirice #1121basmatirice #rice #lollipop,"{""1"": {""comment_id"": ""praba_impex""  ""comment_text"": ""Praba Impex\nBASMATI RICE Exporters & Suppliers.\nLet Us Help You Need. Contact a Trusted Supplier & Exporter Today!\nContact Us:\nhttp://prabaimpex.com/\nMob. 7867945833\n#prabaimpex #rice #waxmatchbox #biscuit #salt #woodenmatchbox #sugar #sweet #food #chocolate #dessert #cake #love #yummy #foodporn #sweets #delicious #foodie #whitesugar #rice #wheat #pusa1121basmatirice #1121basmatirice #rice #lollipop""}  ""2"": {""comment_id"": ""praba_impex""  ""comment_text"": ""Send pic ❣️ @THE.FOOD.FACTORY_""}  ""3"": {""comment_id"": ""mitr492""  ""comment_text"": ""Send pic on✨@food_.promo._""}}"
Bottle gourd is a wonderful source to help cool down the body !.For More Info Contact Us : +91-9722255718....#production #agriculture #agri #indianfood #vegetables #nutrition #protein #rice #wheat #bajra #india #foodstagram #healthy #healthyfood #healthylife #agro #fresh #quality #food #help #healthcare #foodie,"{""1"": {""comment_id"": ""ramiusenterprises""  ""comment_text"": ""Bottle gourd is a wonderful source to help cool down the body !\n.\nFor More Info  Contact Us : +91-9722255718\n.\n.\n.\n.\n#production #agriculture #agri #indianfood #vegetables #nutrition #protein #rice #wheat #bajra #india #foodstagram #healthy #healthyfood #healthylife #agro #fresh #quality #food #help #healthcare #foodie""}}"
