main_text,comment
Os agricultores movimentam o nosso país 🤠🇧🇷#farm#fazenda#harvest#colheita#corn#country#agronomi#agriculture#claas#caseih#instagood#instagram#tractor#johndeere#combine#instadaily#agro#agriculture#fazenda#farmlife#trator#bruto#soja#milho#brasil#algodao#stara#jd#combine#agronegocio#countryside,"{""1"": {""comment_id"": ""sander.frizzo""  ""comment_text"": ""Os agricultores movimentam o nosso país 🤠🇧🇷\n\n#farm#fazenda#harvest#colheita#corn#country#agronomi\n#agriculture#claas#caseih#instagood#instagram#tractor\n#johndeere#combine#instadaily#agro#agriculture#fazend\na#farmlife#trator#bruto#soja#milho#brasil#algodao#stara\n#jd#combine#agronegocio#countryside""}  ""2"": {""comment_id"": ""sander.frizzo""  ""comment_text"": ""👏👏👏""}  ""3"": {""comment_id"": ""leonardo_olenik""  ""comment_text"": ""👏👏👏""}  ""4"": {""comment_id"": ""agriculturabrutaoficial""  ""comment_text"": ""Aobaaaaaa ! Falou e disse🌱🤠""}  ""5"": {""comment_id"": ""wesly.negreiros""  ""comment_text"": ""O agro não para 🍃🌱""}  ""6"": {""comment_id"": ""alex_fabio_260""  ""comment_text"": ""👏""}  ""7"": {""comment_id"": ""mateus_consalter""  ""comment_text"": ""🤠👏🇧🇷""}}"
LEXION ⚡️..Posted @withregram • @beavercreekfarmsltd We dove into corn today! It was too wet so we’re going to wait a bit. So I guess this video is a teaser of what’s coming!.......#cheers #fridaycheers #inshot #VSCO#farm #farming #manitobafarm #localfarm #beavercreekfarmsltd #manitobaagriculture #wheat #corn #soybeans #canola #potatoes #manitoba #canada #canadianagriculture #agmorethanever #farmboy #familyfarm #agriculture #iphoneonly #iphonephotography #grain #grainfarming,"{""1"": {""comment_id"": ""agro__machines""  ""comment_text"": ""LEXION ⚡️\n.\n.\n\nPosted @withregram • @beavercreekfarmsltd We dove into corn today! It was too wet so we’re going to wait a bit. So I guess this video is a teaser of what’s coming!\n\n.\n.\n.\n.\n.\n.\n.\n#cheers #fridaycheers #inshot #VSCO\n#farm #farming #manitobafarm #localfarm #beavercreekfarmsltd #manitobaagriculture #wheat #corn #soybeans #canola #potatoes #manitoba #canada #canadianagriculture #agmorethanever #farmboy #familyfarm #agriculture #iphoneonly #iphonephotography #grain #grainfarming""}  ""2"": {""comment_id"": ""agro__machines""  ""comment_text"": ""Class lexion Caterpillar brabo 👏👏👏👏👏""}  ""3"": {""comment_id"": ""almirsilva5845""  ""comment_text"": ""I'm a Machine Operator  I wanted to work with a harvester 👏👏😉""}  ""4"": {""comment_id"": ""marlonpaulorech5""  ""comment_text"": ""👌🏻👍🏻👌🏻""}  ""5"": {""comment_id"": ""bidarigh.sepehrsanat""  ""comment_text"": ""👏👏👏👏👏👏😍😍🔥🔥🔥""}  ""6"": {""comment_id"": ""si.amak165""  ""comment_text"": ""👏👏👏""}  ""7"": {""comment_id"": ""cyrenovbaar""  ""comment_text"": ""👏""}  ""8"": {""comment_id"": ""stevanlaslo""  ""comment_text"": ""@cassianodwc""}  ""9"": {""comment_id"": ""paulo_pagnoncelli""  ""comment_text"": ""I received my payout without delay of payment and any attachment fee  now I can start making more money with the help of @levchenko__fx_trade""}  ""10"": {""comment_id"": ""paulfreeman6405""  ""comment_text"": ""Maíz para los pollos 🇦🇷😆""}  ""11"": {""comment_id"": ""luismating""  ""comment_text"": ""👍🏻""}  ""12"": {""comment_id"": ""jimnavarro6878""  ""comment_text"": ""Thanks for giving proper credit 🙏🏼""}}"
Put your lefover rice to work with @adamliaw's prawn and corn fried rice. It's a simple combo but one you might not have thought of. Find the recipe at our link in bio. #prawn #corn #friedrice #easydinners #sbsfood 📸 @adamliaw,"{""1"": {""comment_id"": ""sbsfood""  ""comment_text"": ""Put your lefover rice to work with @adamliaw's prawn and corn fried rice. It's a simple combo but one you might not have thought of. Find the recipe at our link in bio. #prawn #corn #friedrice #easydinners #sbsfood 📸 @adamliaw""}  ""2"": {""comment_id"": ""sbsfood""  ""comment_text"": ""What do you mean by the bio link for recipes?""}  ""3"": {""comment_id"": ""silvestrigirl""  ""comment_text"": ""Click above the pic where it says sbsfood and it opens the whole page. You will see some text (the bio) and a link to click at the bottom where you'll find the recipes.""}  ""4"": {""comment_id"": ""max_by_the_bay""  ""comment_text"": ""Epic 🔥""}  ""5"": {""comment_id"": ""forkindeliciousfood""  ""comment_text"": ""Yummy 😋😋😋""}  ""6"": {""comment_id"": ""artisanbistrofood""  ""comment_text"": ""Delicious 👏❤️""}  ""7"": {""comment_id"": ""brenda_lee_red_23""  ""comment_text"": ""\""..might not have thought of..\"" - looool""}  ""8"": {""comment_id"": ""superawesomeparty""  ""comment_text"": ""They rhyme so they must go together 👍""}  ""9"": {""comment_id"": ""fifeelee""  ""comment_text"": ""I’m 🅿️aying 💰7 500 to the first seven people to hmu now with “ALIVE” stay blessed y’all 😇💵🦅""}  ""10"": {""comment_id"": ""david____gaines_""  ""comment_text"": ""@howiewalker8""}  ""11"": {""comment_id"": ""christelle.smit.965""  ""comment_text"": ""@lisaryanstarr rook at it""}  ""12"": {""comment_id"": ""georgia.starr96""  ""comment_text"": ""@georgia.starr96 oh my 😍""}  ""13"": {""comment_id"": ""lisaryanstarr""  ""comment_text"": ""@tash.coops 😍""}  ""14"": {""comment_id"": ""aliaborrett""  ""comment_text"": ""@aliaborrett you had me at corn""}  ""15"": {""comment_id"": ""tash.coops""  ""comment_text"": ""@tarajbrock for the boy""}  ""16"": {""comment_id"": ""luctbrock75""  ""comment_text"": ""@luctbrock75 yes""}  ""17"": {""comment_id"": ""tarajbrock""  ""comment_text"": ""@luctbrock75 yes""}  ""18"": {""comment_id"": ""tarajbrock""  ""comment_text"": ""@sammy.a.22 looks just like mine""}  ""19"": {""comment_id"": ""forster101""  ""comment_text"": ""@forster101 yum yum 🤤""}  ""20"": {""comment_id"": ""sammy.a.22""  ""comment_text"": ""I don't normally comment but I felt compelled to add my voice to the thousands of people who have benefited from your generosity and expertise. You are one of the precious few who genuinely look to give something back in this industry  you are a blessing @stacy__stewart___""}}"
E Nitrogênio em Milho Safrinha como proceder? #agronegocio #agro #agricultura #agronomia #fazenda #pecuaria #soybeans #agropecuaria #campo #soja #farm #vidanocampo#rural #agriculture #milho #corn #agricultor #lavoura#agro #milho #campo #goias #Paraná #MatoGrosso #SEALBA #OesteBaiano #cerrado #milhosafrinha #andreaguirreconsultoria🌽🌱,"{""1"": {""comment_id"": ""andreaguirreconsultoria""  ""comment_text"": ""E Nitrogênio em Milho Safrinha  como proceder? #agronegocio #agro #agricultura #agronomia #fazenda #pecuaria #soybeans #agropecuaria #campo #soja #farm #vidanocampo#rural #agriculture #milho #corn #agricultor #lavoura\n#agro #milho #campo #goias #Paraná #MatoGrosso #SEALBA #OesteBaiano #cerrado #milhosafrinha #andreaguirreconsultoria🌽🌱""}  ""2"": {""comment_id"": ""andreaguirreconsultoria""  ""comment_text"": ""Nesse total de N  soma -se o que colocou no plantio?""}  ""3"": {""comment_id"": ""diogo_sabiao""  ""comment_text"": ""@diogo_sabiao sim  sem dúvida!""}  ""4"": {""comment_id"": ""andreaguirreconsultoria""  ""comment_text"": ""Parabéns André!!! Posso usar essa conversão para milho em sucessão de feijão? Obrigado por compartilhar seus conhecimentos""}  ""5"": {""comment_id"": ""maciel_daniloc""  ""comment_text"": ""@maciel_daniloc creio que dá pra usar até 45kg de N para cada 45 ou acima sacos de feijão/ha!""}  ""6"": {""comment_id"": ""andreaguirreconsultoria""  ""comment_text"": ""👏""}  ""7"": {""comment_id"": ""canadaoliveira78""  ""comment_text"": ""Por isso a casadinho de soja e milho safrinha é tão rentável""}  ""8"": {""comment_id"": ""pedro.h.marra""  ""comment_text"": ""👏👏""}  ""9"": {""comment_id"": ""fabiocriveli""  ""comment_text"": ""Didática e conhecimento fantásticos  conceitos bem explicados""}  ""10"": {""comment_id"": ""mergenperes.eduardo""  ""comment_text"": ""Arcaicos e ultrapassados  matando o solo e drenando a água  acabando com as chuvas. O futuro de vcs é próximo ao que vcs fazem com a vida""}  ""11"": {""comment_id"": ""gil.gama.machado""  ""comment_text"": ""Ola. Essa quantidade de N deixada pela soja não estaria sendo super estimada? Eu acredito que desta forma estamos retirando N do sistema por causa da \""safrinha\""  ou seja  pelo pouco uso de Nitrogenado. E ainda a eficiência da adubação nitrogenada através de ureia na segunda safra é muito ruim devido as condições de clima  principalmente nos plantios fora da janela ideal. O que pensa sobre isso?""}  ""12"": {""comment_id"": ""leandro_solofertil""  ""comment_text"": ""@andreaguirreconsultoria entendido. Obrigado pelas dicas. Numa pós graduação falava com prof. Volnei Pauletti sobre isso. Ou seja  de onde vem esse N  sendo que numa pesquisa dele se perdeu 78% da ureia por causa da volatilizacao  porém produtividade diminuiu 15%.""}  ""13"": {""comment_id"": ""leandro_solofertil""  ""comment_text"": ""@leandro_solofertil exato! Muito obrigado pela participação  espero que em um momento desses possamos ter uma mesa redonda virtual! Grande abraço!""}  ""14"": {""comment_id"": ""andreaguirreconsultoria""  ""comment_text"": ""@ excelente idéia. Obrigado pelas informações 🙌🙌👏👏""}  ""15"": {""comment_id"": ""leandro_solofertil""  ""comment_text"": ""Ei acredito que Estados Unidos falamso de tecnologia avançada e@custos@diferente clima continental térrenos não ácido fator praga diferente devido clima tou di acordo a fertilização e tecnologia que ela aplica e@ fator  tecnologia fator semente hoje no Brasil em regiões diferente temos produções diferente""}  ""16"": {""comment_id"": ""17francy""  ""comment_text"": ""Olha aí @rossirobertoleandro aprende""}}"
The cleanest pair of Magnum 305's around on a Kinze 3665 16/32 and Kinze 4900 16 row.#caseih#caseihmagnum#magnum305#kinze#kinzemanufacturing#corn#soybeans#plant22#planting#michiganfarmphotos#michiganfarmer#michiganfarm#michiganagriculture#farmphoto#farmphotography#farmpics#farmpictures#bigtractorpower,"{""1"": {""comment_id"": ""michiganfarmphotos""  ""comment_text"": ""The cleanest pair of Magnum 305's around on a Kinze 3665 16/32 and Kinze 4900 16 row.\n\n#caseih\n#caseihmagnum\n#magnum305\n#kinze\n#kinzemanufacturing\n#corn\n#soybeans\n#plant22\n#planting\n#michiganfarmphotos\n#michiganfarmer\n#michiganfarm\n#michiganagriculture\n#farmphoto\n#farmphotography\n#farmpics\n#farmpictures\n#bigtractorpower""}  ""2"": {""comment_id"": ""michiganfarmphotos""  ""comment_text"": ""Power 🔥""}}"
ハイスピード豆腐たまごスープwithコーン缶Super easy egg drop soup with tofu and corn#yummy #homemade #healthy #soup #eggdropsoup #tofu #corn #おいしい #スープ #かきたま汁 #豆腐 #コーン #マカロニメイト #フーディーテーブル #手作り水2カップ、コーンクリーム缶1缶180g、中華スープの素大1/2〜、ごま油たらり、しょうゆたらり、豆腐1丁300g、片栗粉大1＋水大2、卵1個、塩胡椒、お好みで生姜(チューブ可)など2 cups water 1 canned creamy sweet corn 180g 1/2~ tbsp Wonton soup base powder sesame oil soy sauce 300g tofu 1 tbsp starch with 2 tbsp water 1 egg salt pepper… and ginger if you like#醤油 @tsubotatsuno #隠し味 ♡,"{""1"": {""comment_id"": ""tmytsm""  ""comment_text"": ""ハイスピード豆腐たまごスープwithコーン缶\nSuper easy egg drop soup with tofu and corn\n#yummy #homemade #healthy #soup #eggdropsoup #tofu #corn #おいしい #スープ #かきたま汁 #豆腐 #コーン #マカロニメイト #フーディーテーブル #手作り\n\n水2カップ、コーンクリーム缶1缶180g、中華スープの素大1/2〜、ごま油たらり、しょうゆたらり、豆腐1丁300g、片栗粉大1＋水大2、卵1個、塩胡椒、お好みで生姜(チューブ可)など\n2 cups water  1 canned creamy sweet corn 180g  1/2~ tbsp Wonton soup base powder  sesame oil  soy sauce  300g tofu  1 tbsp starch with 2 tbsp water  1 egg  salt  pepper… and ginger if you like\n\n#醤油 @tsubotatsuno #隠し味 ♡""}  ""2"": {""comment_id"": ""tmytsm""  ""comment_text"": ""#japanesefood#hungry#recipe#healthyrecipes#cooking#日常#ごはん#暮らし#おうち時間#暮らしを楽しむ#レシピ#簡単レシピ#料理""}  ""3"": {""comment_id"": ""tmytsm""  ""comment_text"": ""今日、作ります😄❤️🎵美味しそう😍""}  ""4"": {""comment_id"": ""solt.tamago.2323""  ""comment_text"": ""@solt.tamago.2323 Thanks! わーい🤤""}  ""5"": {""comment_id"": ""tmytsm""  ""comment_text"": ""豆腐たまご💛すぅぷ🤭👍💛with！コーン！🌽🧡💃🕺💕💕💕ハイスピード！ε=(ﾉ･∀･)ﾂε=(ﾉ･∀･)ﾂε=(ﾉ･∀･)ﾂε=(ﾉ･∀･)ﾂε=(ﾉ･∀･)ﾂ✨✨✨✨で！食べちゃいま～す！！！😋👍💓♥️❤️""}  ""6"": {""comment_id"": ""_____00_su_suika0515""  ""comment_text"": ""@_____00_su_suika0515 Thanks! 熱いからはふはふしてね🤤""}  ""7"": {""comment_id"": ""tmytsm""  ""comment_text"": ""@tmytsm は～い🎶🎵🎶🤭👍✨✨✨✨""}  ""8"": {""comment_id"": ""_____00_su_suika0515""  ""comment_text"": ""師匠ー😆！こういうの大好きです😆👍！とろりんつるん🥚😋""}  ""9"": {""comment_id"": ""mahoko325""  ""comment_text"": ""@mahoko325 Thanks! ほっこりほわほわ🤤""}  ""10"": {""comment_id"": ""tmytsm""  ""comment_text"": ""美味しそう〜😍🤤😍🤤🤤😍🤤😍🤤😍🤤トロ〜リフワ〜リ""}  ""11"": {""comment_id"": ""yuihiromamama""  ""comment_text"": ""@yuihiromamama Thanks! 夢心地🤤""}  ""12"": {""comment_id"": ""tmytsm""  ""comment_text"": ""🇨🇱🙌👌😋✌🎇🎆✨👍""}  ""13"": {""comment_id"": ""rusticos_paredones""  ""comment_text"": ""@rusticos_paredones Thanks! 🤤""}  ""14"": {""comment_id"": ""tmytsm""  ""comment_text"": ""@tmytsm 🇨🇱🙌👍👏✌😃🌞🌞""}  ""15"": {""comment_id"": ""rusticos_paredones""  ""comment_text"": ""こんばんは😊美味しそうなスープですね😋💕材料揃ってるから明日、作れちゃう♡ハイスピードで作ります😆✨💖""}  ""16"": {""comment_id"": ""cengwoshangyi""  ""comment_text"": ""@cengwoshangyi Thanks! 猛スピード🔥""}  ""17"": {""comment_id"": ""tmytsm""  ""comment_text"": ""ぬぉ～😋ハイスピード豆腐たまごフープに癒されました😆とろみがまた良いです🙆""}  ""18"": {""comment_id"": ""numatomo_2836""  ""comment_text"": ""@numatomo_2836 Thanks! 腹持ちもばっちり🤤""}  ""19"": {""comment_id"": ""tmytsm""  ""comment_text"": ""好きなものばかり❤️❤️❤️""}  ""20"": {""comment_id"": ""riepan24""  ""comment_text"": ""@riepan24 Thanks! 一緒にほわほわしよ🤤""}  ""21"": {""comment_id"": ""tmytsm""  ""comment_text"": ""豆腐は切らないまんまがいーよね❤️""}  ""22"": {""comment_id"": ""eddy_nk8""  ""comment_text"": ""@eddy_nk8 Thanks! うんうん、ズ、ズボラじゃないよ意図的だよねー🔥w""}  ""23"": {""comment_id"": ""tmytsm""  ""comment_text"": ""うぃずこーーーーーーん💛🙌🔥😍""}  ""24"": {""comment_id"": ""nijiiro10""  ""comment_text"": ""ハイスピードでもめちゃくちゃ美味しそう👏私が作ったら普通に時間かかりそう🤣""}  ""25"": {""comment_id"": ""azuzu.18.m""  ""comment_text"": ""@azuzu.18.m Thanks! 取っとくね🤤""}}"
One of the new series of T-shirts which I received year these are for Japan @homesteadltd @tender_co using elements for my Albion linocut for @stjudesfabrics - we worked on creating fictional pub names based on pairs of images. #tshirts #teedesign #tshirtdesign #madeinjapan #tshirtsofinstagram #japanesetshirt #screenprinted #linocut #linocutprint #christopherbrownlino #sailor #anchor #bull #corn #cornsheaf #blue #pubnames,"{""1"": {""comment_id"": ""christopherbrownlino""  ""comment_text"": ""One of the new series of T-shirts which I received year these are for Japan @homesteadltd @tender_co using elements for my Albion linocut for @stjudesfabrics - we worked on creating fictional pub names based on pairs of images. #tshirts #teedesign #tshirtdesign #madeinjapan #tshirtsofinstagram #japanesetshirt #screenprinted #linocut #linocutprint #christopherbrownlino #sailor #anchor #bull #corn #cornsheaf #blue #pubnames""}  ""2"": {""comment_id"": ""christopherbrownlino""  ""comment_text"": ""Wow!😍😍😍""}  ""3"": {""comment_id"": ""benmcknight61""  ""comment_text"": ""😮😍Wow. Tiptop tee!""}  ""4"": {""comment_id"": ""lorenzaceretti.illustration""  ""comment_text"": ""Likey! Good label too.""}  ""5"": {""comment_id"": ""geraldineclaireguest""  ""comment_text"": ""Gosh how wonderful love it!""}  ""6"": {""comment_id"": ""amandarusselldesign""  ""comment_text"": ""Love them!""}  ""7"": {""comment_id"": ""snowdenflood""  ""comment_text"": ""🔥🔥""}  ""8"": {""comment_id"": ""lerouxeric956""  ""comment_text"": ""Love ❤️""}  ""9"": {""comment_id"": ""that_time_tim""  ""comment_text"": ""Ohhhh❤️""}  ""10"": {""comment_id"": ""maxgardenia""  ""comment_text"": ""Love them! And that lovely long label too! X""}  ""11"": {""comment_id"": ""emilymaudey""  ""comment_text"": ""Lovely!💙💙""}  ""12"": {""comment_id"": ""marion.elliot""  ""comment_text"": ""What a treat 👏👏👏""}}"
"کریستوفر نولان.فیلم‌برداری بخشی از «میان ستاره‌ای» (کریستوفر نولان، 2014) به مزرعۀ ذرتی در کنار کوهستان نیاز داشت که محل مناسبی برای کشت ذرت نیست.به گفتۀ نولان: «ما در واقع می‌خواستیم این حالت را نشان بدهیم که ذرت‌ها در جایی رشد کرده‌اند که امکان کاشت آن‌ها فراهم نیست. در کلگری (واقع در استان آلبرتا در کانادا) هم زیاد ذرت نمی‌کارند چون بادی که از سمت کوهستان می‌وزد، خیلی سریع آن‌ها را از بین می‌برد.»اما نولان کسی نبود که بخواهد با تصویرسازی کامپیوتری این صحنه‌ها را بگیرد. به‌همین‌خاطر در دو لوکیشن به مساحت حدود 330 هکتار ذرت کاشته شد تا صرفا صحنه‌های مربوط به مزرعۀ ذرت فیلم‌برداری شود. البته نولان گفته که در پایان فیلم‌برداری ذرت‌ها را برداشت کرده‌اند و پول خوبی هم از فروش آن‌ها به دست آورده‌اند.جواد رهبر🖋.ویدیو و توضیحات، بی‌کم‌کاست از صفحه اینستاگرام مجله‌ی وزین ""فیلم امروز"" برداشته شده است..@filmemrooz.official@javadrahbar59@officiallymcconaughey@mackenziefoy@tchalamet@kamranshamshirii..#سینما#فیلم‌سازی#فیلم_امروز#کریستوفر_نولان#میان_ستاره_ای#متیو_مک_کانهی#ذرت#مزرعه#علمی_تخیلی#کشاورزی#کلگری#پهپاد#سینمای_جهان#کامران_شمشیری#Interstellar#ChristopherNolan#MatthewMcConaughey#corn#cornfield#calgary#timotheechalamet","{""1"": {""comment_id"": ""kamranshamshirii""  ""comment_text"": ""کریستوفر نولان\n.\nفیلم‌برداری بخشی از «میان ستاره‌ای» (کریستوفر نولان، 2014) به مزرعۀ ذرتی در کنار کوهستان نیاز داشت که محل مناسبی برای کشت ذرت نیست.\nبه گفتۀ نولان: «ما در واقع می‌خواستیم این حالت را نشان بدهیم که ذرت‌ها در جایی رشد کرده‌اند که امکان کاشت آن‌ها فراهم نیست. در کلگری (واقع در استان آلبرتا در کانادا) هم زیاد ذرت نمی‌کارند چون بادی که از سمت کوهستان می‌وزد، خیلی سریع آن‌ها را از بین می‌برد.»\nاما نولان کسی نبود که بخواهد با تصویرسازی کامپیوتری این صحنه‌ها را بگیرد. به‌همین‌خاطر در دو لوکیشن به مساحت حدود 330 هکتار ذرت کاشته شد تا صرفا صحنه‌های مربوط به مزرعۀ ذرت فیلم‌برداری شود. البته نولان گفته که در پایان فیلم‌برداری ذرت‌ها را برداشت کرده‌اند و پول خوبی هم از فروش آن‌ها به دست آورده‌اند.\n\nجواد رهبر🖋\n.\nویدیو و توضیحات، بی‌کم‌کاست از صفحه اینستاگرام مجله‌ی وزین \""فیلم امروز\"" برداشته شده است.\n.\n@filmemrooz.official\n@javadrahbar59\n@officiallymcconaughey\n@mackenziefoy\n@tchalamet\n@kamranshamshirii\n.\n.\n#سینما\n#فیلم‌سازی\n#فیلم_امروز\n#کریستوفر_نولان\n#میان_ستاره_ای\n#متیو_مک_کانهی\n#ذرت\n#مزرعه\n#علمی_تخیلی\n#کشاورزی\n#کلگری\n#پهپاد\n#سینمای_جهان\n#کامران_شمشیری\n#Interstellar\n#ChristopherNolan\n#MatthewMcConaughey\n#corn\n#cornfield\n#calgary\n#timotheechalamet""}  ""2"": {""comment_id"": ""kamranshamshirii""  ""comment_text"": ""🌽""}  ""3"": {""comment_id"": ""corn.friends.world""  ""comment_text"": ""به خدا که مثل نولان نداریم عاشقتم❤️❤️❤️""}  ""4"": {""comment_id"": ""alireza.only.god""  ""comment_text"": ""👏👏👏👏👏👏👏👏❤️""}  ""5"": {""comment_id"": ""contemporary.arts.center""  ""comment_text"": ""👏👏👏👏""}}"
Segue a Colheita da Safrinha 🌽 #farming #agriculture #agronomia #lavoura #soja #agronomo #lida #vidanocampo #corn #colheita #cafe #pecuaria #bruta #caipira #sertanejo #fazenda #rural #harvest #farminglife #combines #johndeere #class #coracaodocampo @gustavo_pruckniesky,"{""1"": {""comment_id"": ""coracaodocampo""  ""comment_text"": ""Segue a Colheita da Safrinha 🌽 #farming #agriculture #agronomia #lavoura #soja #agronomo #lida #vidanocampo #corn #colheita #cafe #pecuaria #bruta #caipira #sertanejo #fazenda #rural #harvest #farminglife #combines #johndeere #class #coracaodocampo @gustavo_pruckniesky""}  ""2"": {""comment_id"": ""coracaodocampo""  ""comment_text"": ""OK John deere""}  ""3"": {""comment_id"": ""navaz1130""  ""comment_text"": ""#côncavosmultigrão""}}"
#plant2022 is in full swing🌽#pioneer #pioneerseed #farm #planting #plant #farming #corn #soybeans #letsroll #ag #agriculturelife #agriculture #iowa @becker_ag,"{""1"": {""comment_id"": ""becker_ag""  ""comment_text"": ""#plant2022 is in full swing🌽\n\n#pioneer #pioneerseed #farm #planting #plant #farming #corn #soybeans #letsroll #ag #agriculturelife #agriculture #iowa @becker_ag""}}"
