main_text,comment
감자 싹이 이쁘게 잘 올라왔습니다.싹도 1~ 2개 정도 올라와서 감자 순치기할 필요가 없네요..좀 더 두고봐야겠지만 일거리 줄 게 생겼어요 ^^#감자싹#감자순치기#감자줄기#감자키우기#감자재배,"{""1"": {""comment_id"": ""tameones""  ""comment_text"": ""감자 싹이 이쁘게 잘 올라왔습니다.\n\n싹도 1~ 2개 정도 올라와서 감자 순치기할 필요가 없네요..\n\n좀 더 두고봐야겠지만 일거리 줄 게 생겼어요 ^^\n\n#감자싹\n#감자순치기\n#감자줄기\n#감자키우기\n#감자재배""}  ""2"": {""comment_id"": ""tameones""  ""comment_text"": ""넘나 이뿌네용~""}  ""3"": {""comment_id"": ""run_sudal""  ""comment_text"": ""저희 밭에는 감자꽃이 피었어요. 이웃이 꽃을 따줘야 열매가 실해진다는데 올 해는 꽃 보는 재미로 키우려구요. 감자 순치기라는게 아래 잎을 따 주는게 아니라 싹을 한두개만 남기고 뽑는건가봐요--;; 아...이래서 이웃들이 우리 밭을 보고 걱정이 많은가봐요...""}  ""4"": {""comment_id"": ""shinds69""  ""comment_text"": ""@shinds69 ㅎㅎ 감자알을 키울려면 순치기와 감자꽃따기를 해줘야해서 그럴거에요. ^^""}  ""5"": {""comment_id"": ""tameones""  ""comment_text"": ""전 올해 감자를 못 심었네요""}  ""6"": {""comment_id"": ""71bbanga""  ""comment_text"": ""감자싹이 실하게 올라왔네요^^감자도 알차게 달릴듯해요👍""}}"
7/16/2020오늘은 스노우볼이 설사하고 토하고.. 혹시모르니 급하게 애기들 격리시키고... 하루종일 스노우볼 따라다니면서 컨디션 체크하고.. 힘든하루였다....애기들은 놀고싶어서 난리난리.. 그리고 코리가 쬬이 자는데 그루밍해준다고 핥아주다가 배에 수술해서 딱쟁이 생긴거 훅 뜯어버리고.. 스노우볼 눈물 닦아주는데 그 자리에 빨갛게 염증 같은거 발견.. 식겁한 하루... (Feat. 코리 맛동산 생산 & 잠자기 준비 운동)#스노우볼 #아프지마라 #제발 #ㅠㅠ #언니가더잘해줄께 #미안해 #아가들을위해서 #격리해야해 #방에못들어오게해서 #맴찢 #코리 #쬬이 #아직도 #친해지는중 #무한대 #맛동산생산 #감자재배 #하루종일 #따라다니느라 #백만보걸은듯 #아프지마 #건강하게만자라다오 #사랑해 #내새끼들 #아깽이 #고양이 #육아일기 #냥스타그램 #고양이스타그램 #집사스타그램@korie_zoie,"{""1"": {""comment_id"": ""blan_ahgc_""  ""comment_text"": ""7/16/2020\n오늘은 스노우볼이 설사하고 토하고.. 혹시모르니 급하게 애기들 격리시키고... 하루종일 스노우볼 따라다니면서 컨디션 체크하고.. 힘든하루였다....\n애기들은 놀고싶어서 난리난리.. 그리고 코리가 쬬이 자는데 그루밍해준다고 핥아주다가 배에 수술해서 딱쟁이 생긴거 훅 뜯어버리고.. 스노우볼 눈물 닦아주는데 그 자리에 빨갛게 염증 같은거 발견.. 식겁한 하루... (Feat. 코리 맛동산 생산 & 잠자기 준비 운동)\n#스노우볼 #아프지마라 #제발 #ㅠㅠ #언니가더잘해줄께 #미안해 #아가들을위해서 #격리해야해 #방에못들어오게해서 #맴찢 #코리 #쬬이 #아직도 #친해지는중 #무한대 #맛동산생산 #감자재배 #하루종일 #따라다니느라 #백만보걸은듯 #아프지마 #건강하게만자라다오 #사랑해 #내새끼들 #아깽이 #고양이 #육아일기 #냥스타그램 #고양이스타그램 #집사스타그램\n\n@korie_zoie""}  ""2"": {""comment_id"": ""blan_ahgc_""  ""comment_text"": ""스노우볼 아프지마 ㅜㅜ 😢""}  ""3"": {""comment_id"": ""hi.royce""  ""comment_text"": ""@hi.royce 하아.. 맴찢..""}  ""4"": {""comment_id"": ""blan_ahgc_""  ""comment_text"": ""@hi.royce 그래도 다행인건 저녁잘먹고 잘놀고 강재취침""}  ""5"": {""comment_id"": ""blan_ahgc_""  ""comment_text"": ""@blanahgc 다행👍 딴애기들도 건강하자 ㅜㅜ""}}"
농한기라 올해 작물들을 되짚어 봅니다. Reviewed this year's potato growing.............#주말농장 #도시농부 #텃밭 #gardening #allotment #urbangardening #growingvegetable #homestead  #growtoeat #vegetablegarden #growyourownfood #growyourown #growingfood #potato #감자재배 #한해끝,"{""1"": {""comment_id"": ""city_farmer07""  ""comment_text"": ""농한기라 올해 작물들을 되짚어 봅니다. Reviewed this year's potato growing.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n#주말농장 #도시농부 #텃밭 #gardening #allotment #urbangardening #growingvegetable #homestead  #growtoeat #vegetablegarden #growyourownfood #growyourown #growingfood #potato #감자재배 #한해끝""}  ""2"": {""comment_id"": ""city_farmer07""  ""comment_text"": ""텃밭이 아닌데요? 힘드시겠어요?""}  ""3"": {""comment_id"": ""hogam_story""  ""comment_text"": ""@hogam_story 매년 욕심이 늘다보니 이리 커졌네요. 😅""}  ""4"": {""comment_id"": ""city_farmer07""  ""comment_text"": ""Extraordinary😍""}  ""5"": {""comment_id"": ""sindhun275""  ""comment_text"": ""@sindhun275 🙂🙂🙂😄""}}"
[감자로 지키는 환경]⠀🍚🍞쌀과 밀 같은 매일 먹는 우리의 주식이알고 보면 많은 온실가스를 배출하고😱물 사용량도 많아 환경을 망친다는 사실!⠀❕이러한 상황 속에서 환경을 지키는 작물로🥔감자가 주목 받고 있다는데요!⠀🔍감자 재배 어떤 장점이 있을지 알아보아요~!⠀⠀#한국환경산업기술원 #환기원 #KEITI #감자 #감자환경보호 #감자재배 #감자장점,"{""1"": {""comment_id"": ""forestvalue_plus""  ""comment_text"": ""[감자로 지키는 환경]\n⠀\n🍚🍞쌀과 밀 같은 매일 먹는 우리의 주식이\n알고 보면 많은 온실가스를 배출하고\n😱물 사용량도 많아 환경을 망친다는 사실!\n⠀\n❕이러한 상황 속에서 환경을 지키는 작물로\n🥔감자가 주목 받고 있다는데요!\n⠀\n🔍감자 재배  어떤 장점이 있을지 알아보아요~!\n⠀\n⠀\n#한국환경산업기술원 #환기원 #KEITI #감자 #감자환경보호 #감자재배 #감자장점""}}"
감자가 싹이나고 잎이나서~🥔😃오늘은 방울토마토와 풋고추 모종 심는 날~ 🍅방토4 🌶풋고추4... 그 와중에 🥬적상추 첫수확~ 구름 많이 낀 주말 오후~☁️#늘푸른주말농장#잡초제거#감자재배#텃밭농사#적상추재배#방울토마토키우기#풋고추,"{""1"": {""comment_id"": ""cat_fam_everlasting""  ""comment_text"": ""감자가 싹이나고 잎이나서~🥔😃\n오늘은 방울토마토와 풋고추 모종 심는 날~ 🍅방토4  🌶풋고추4... 그 와중에 🥬적상추 첫수확~ 구름 많이 낀 주말 오후~☁️\n\n#늘푸른주말농장#잡초제거#감자재배#텃밭농사#적상추재배#방울토마토키우기#풋고추""}  ""2"": {""comment_id"": ""cat_fam_everlasting""  ""comment_text"": ""이젠 경력 꽤 되는 도시농부! 웬만한 작물은 문제 없이 거뜬하게~~~^-^""}  ""3"": {""comment_id"": ""jung_moo_in""  ""comment_text"": ""@jung_moo_in 😃""}}"
감자캐러 왔다.#감자재배 #감자캐기 #영농후계자,"{""1"": {""comment_id"": ""chung_joo_ho""  ""comment_text"": ""감자캐러 왔다.\n#감자재배 #감자캐기 #영농후계자""}  ""2"": {""comment_id"": ""chung_joo_ho""  ""comment_text"": ""캬~~~~ 포슬포슬 쪄먹음 맛있겠다. 집에 올라오는길에 수원들러 내려놓고가 ㅋㅋㅋㅋㅋ""}}"
🥔11/17 춘천 감자빵 카페 방문🥖양구군에서 사과나무 토공작업을 보고 점심식사를 하고 나서 그냥 내려가기 아쉬워서 선배가 춘천에 맛있는 빵집이 있다고 하셔서 방문하게 되었다저도 가서 처음 봤는데 포장도 감자박스처럼 신기하게 잘 해 놓아서 눈이 가게 되었다감자빵은 총 3가지 종류가 있었다 오리지널 감자빵과 카레맛 치즈맛이 더 생겼다음료는 감자라떼를 사서 먹었다감자빵이라 해서 별로 기대하지 않았는데 빵이 겉면과 속의 찐감자의 맛이 잘 어울러져서 감탄 하면서 먹었다여기 감자를 생산하시는 분이 대학교 선배님이라는 얘기를 듣고 감자 재배를 너무 잘 하신거 같아 감탄하면서 먹었다#춘천 #강원도 #감자 #감자빵 #춘천감자밭 #감자밭 #어쩌다가 #일상 #영농일기 #청년창업 #청년농업 #선배 #대학교선배 #청년농업인 #청년창업농 #휴식 #맛집 #카페 #잠깐의휴식 #편안 #안정 #감자 #감자재배 #감자생산 #최고 #맛있어 #맛있는거 #다음에또가야지 #한번더먹어야해 #여행 #강원춘천,"{""1"": {""comment_id"": ""toward_dream.h""  ""comment_text"": ""🥔11/17 춘천 감자빵 카페 방문🥖\n\n양구군에서 사과나무 토공작업을 보고 점심식사를 하고 나서 그냥 내려가기 아쉬워서 선배가 춘천에 맛있는 빵집이 있다고 하셔서 방문하게 되었다\n저도 가서 처음 봤는데  포장도 감자박스처럼 신기하게 잘 해 놓아서 눈이 가게 되었다\n감자빵은 총 3가지 종류가 있었다 오리지널 감자빵과 카레맛  치즈맛이 더 생겼다\n음료는 감자라떼를 사서 먹었다\n감자빵이라 해서 별로 기대하지 않았는데 빵이 겉면과 속의 찐감자의 맛이 잘 어울러져서 감탄 하면서 먹었다\n여기 감자를 생산하시는 분이 대학교 선배님이라는 얘기를 듣고 감자 재배를 너무 잘 하신거 같아 감탄하면서 먹었다\n\n#춘천 #강원도 #감자 #감자빵 #춘천감자밭 #감자밭 #어쩌다가 #일상 #영농일기 #청년창업 #청년농업 #선배 #대학교선배 #청년농업인 #청년창업농 #휴식 #맛집 #카페 #잠깐의휴식 #편안 #안정 #감자 #감자재배 #감자생산 #최고 #맛있어 #맛있는거 #다음에또가야지 #한번더먹어야해 #여행 #강원춘천""}}"
[#주민과동행하는새로운시작]4월 6일 수요일 사단법인 국제자원봉사연합회(이하 국자봉)와 함께 지역연계사업으로 건강함이 철철흐르는 '강철감자' 사업을 시작했습니다.양주시 백석읍에 위치한 국자봉 공동체 농장을 활용하여 농장을 일구고 감자 재배를 시작했습니다.4월부터 7월까지 주민주도로 농장을 운영할 예정이며 수확된 감자는 지역 내 취약계층을 위해 사용될 예정입니다.국자봉과 함께할 '강철감자' 많은 응원 부탁드립니다.#고산종합사회복지관 #사단법인국제자원봉사연합회 #국제자원봉사연합회 #자원봉사 #공동체농장 #감자재배 #강철감자 #지역사회연계,"{""1"": {""comment_id"": ""ujb_gosan""  ""comment_text"": ""[#주민과동행하는새로운시작]\n\n4월 6일 수요일  사단법인 국제자원봉사연합회(이하 국자봉)와 함께 지역연계사업으로 건강함이 철철흐르는 '강철감자' 사업을 시작했습니다.\n\n양주시 백석읍에 위치한 국자봉 공동체 농장을 활용하여 농장을 일구고 감자 재배를 시작했습니다.\n\n4월부터 7월까지 주민주도로 농장을 운영할 예정이며  수확된 감자는 지역 내 취약계층을 위해 사용될 예정입니다.\n\n국자봉과 함께할 '강철감자' 많은 응원 부탁드립니다.\n\n#고산종합사회복지관 #사단법인국제자원봉사연합회 #국제자원봉사연합회 #자원봉사 #공동체농장 #감자재배 #강철감자 #지역사회연계""}}"
감자꽃 근황지붕까지 닿겠네 ㅋㅋ#감자꽃#알로카시아#화분#감자재배,"{""1"": {""comment_id"": ""kimmy.9227""  ""comment_text"": ""감자꽃 근황\n\n지붕까지 닿겠네 ㅋㅋ\n\n#감자꽃#알로카시아#화분#감자재배""}  ""2"": {""comment_id"": ""kimmy.9227""  ""comment_text"": ""지붕뚫고 감자꽃 ~~~ㅋㅋㅋ""}  ""3"": {""comment_id"": ""diy935935""  ""comment_text"": ""이뻐요❤️""}}"
#감자순솎아주기 #감자웃거름주기22.5.5(목) 아침 일찍 엄니와 함께 감자순 솎아주기.씨감자 심은지 40일. 감자순이 7~8개씩 너무 잘 나와 있다.그러나 이대로 나두면 잎만 무성하고 알맹이가 아주 작게 달린다.감자를 전문으로 재배하는 사람들은 감자순을 1~2개만 남기는데 나는 3~4개를 남겨두고 나머지를 손으로 뿌리채 뽑아낸다.(큰것 작은것 골고루 달리게...)엄니는 전정가위로 잘라내시고...(상렬형네는 싹이 안나와서 내가 솎아낸 감자순을 물을 주고 두둑에 다시 심었다)이어서 웃거룸주기.감자순과 감자순 사이 두둑아래 쪽에 숟가락으로 홈을 파고 NK비료를 한숟가락씩 넣고 다시 흙을 덮어 마무리.#텃밭농부 #주말농부 #엄니 #감자재배,"{""1"": {""comment_id"": ""park_chang_hei""  ""comment_text"": ""#감자순솎아주기 #감자웃거름주기\n\n22.5.5(목) 아침 일찍 엄니와 함께 감자순 솎아주기.\n씨감자 심은지 40일. 감자순이 7~8개씩 너무 잘 나와 있다.\n그러나 이대로 나두면 잎만 무성하고 알맹이가 아주 작게 달린다.\n감자를 전문으로 재배하는 사람들은 감자순을 1~2개만 남기는데 나는 3~4개를 남겨두고 나머지를 손으로 뿌리채 뽑아낸다.(큰것 작은것 골고루 달리게...)\n엄니는 전정가위로 잘라내시고...\n(상렬형네는 싹이 안나와서 내가 솎아낸 감자순을 물을 주고 두둑에 다시 심었다)\n\n이어서 웃거룸주기.\n감자순과 감자순 사이  두둑아래 쪽에 숟가락으로 홈을 파고 NK비료를 한숟가락씩 넣고 다시 흙을 덮어 마무리.\n\n#텃밭농부 #주말농부 #엄니 #감자재배""}}"
