출처: 시카고선물거래소(CBO).
단위 : 달러/톤
"date","wheat","corn","soybeans"
"20210623","243","216","480"
"20210622","239","259","512"
"20210621","243","259","519"
"20210620","0","0","0"
"20210619","0","0","0"
"20210618","243","256","512"
"20210617","235","249","488"
"20210616","243","264","529"
"20210615","243","262","537"
"20210614","247","260","540"
"20210613","0","0","0"
"20210612","0","0","0"
"20210611","249","269","554"
"20210610","250","275","567"
"20210609","250","273","573"
"20210608","252","268","580"
"20210607","249","267","573"
"20210606","0","0","0"
"20210605","0","0","0"
"20210604","251","268","580"
"20210603","248","260","568"
"20210602","252","265","572"
"20210601","253","270","568"
"20210531","0","0","0"
"20210530","0","0","0"
"20210529","0","0","0"
"20210528","243","258","561"
"20210527","247","261","564"
"20210526","238","245","552"
"20210525","241","244","553"
"20210524","243","259","559"
"20210523","0","0","0"
"20210522","0","0","0"
"20210521","247","258","561"
"20210520","248","261","563"
"20210519","250","260","569"
"20210518","256","259","578"
"20210517","257","256","583"
"20210516","0","0","0"
"20210515","0","0","0"
"20210514","260","253","582"
"20210513","259","265","581"
"20210512","269","281","603"
"20210511","273","284","593"
"20210510","267","281","583"
"20210509","0","0","0"
"20210508","0","0","0"
"20210507","280","287","580"
"20210506","277","282","575"
"20210505","273","278","566"
"20210504","266","274","565"
"20210503","264","268","559"
"20210502","0","0","0"
"20210501","0","0","0"
"20210430","269","265","563"
"20210429","267","255","551"
"20210428","264","251","553"
"20210427","268","257","557"
"20210426","270","258","566"
"20210425","0","0","0"
"20210424","0","0","0"
"20210423","260","258","565"
"20210422","260","256","563"
"20210421","247","246","550"
"20210420","242","239","541"
"20210419","239","233","532"
"20210418","0","0","0"
"20210417","0","0","0"
"20210416","239","231","526"
"20210415","239","232","520"
"20210414","238","233","516"
"20210413","0","0","0"
"20210412","230","223","507"
"20210411","0","0","0"
"20210410","0","0","0"
"20210409","234","226","515"
"20210408","231","227","519"
"20210407","226","220","517"
"20210406","226","218","521"
"20210405","227","217","518"
"20210404","0","0","0"
"20210403","0","0","0"
"20210402","0","0","0"
"20210401","224","219","514"
"20210331","227","222","527"
"20210330","220","211","502"
"20210329","226","214","510"
"20210328","0","0","0"
"20210327","0","0","0"
"20210326","225","217","514"
"20210325","224","215","519"
"20210324","229","217","525"
"20210323","233","217","522"
"20210322","231","216","520"
"20210321","0","0","0"
"20210320","0","0","0"
"20210319","230","219","519"
"20210318","231","215","511"
