,Open,Close,High,Low,Volume,Date
0,8.0,7.9225,8.0,7.8425,,2022-05-06
1,7.9975,8.0375,8.0475,7.96,,2022-05-05
2,8.01,7.985,8.0875,7.96,,2022-05-04
3,8.175,8.0075,8.22,7.9975,,2022-05-03
4,8.115,8.13,8.14,7.98,,2022-05-02
5,8.1625,8.1825,8.27,8.14,,2022-04-29
6,8.1625,8.16,8.235,8.11,,2022-04-28
7,8.0275,8.155,8.2025,7.975,,2022-04-27
8,8.0025,8.0325,8.1225,7.95,,2022-04-26
9,7.9675,8.0025,8.02,7.8475,,2022-04-25
10,7.9875,7.93,8.075,7.835,,2022-04-22
11,8.14,7.9925,8.1425,7.975,,2022-04-21
12,8.035,8.1575,8.165,7.9675,,2022-04-20
13,8.1325,8.04,8.1975,7.9975,,2022-04-19
14,7.91,8.1325,8.1675,7.9025,,2022-04-18
15,7.835,7.9025,7.93,7.81,,2022-04-14
16,7.75,7.835,7.8625,7.6725,,2022-04-13
17,7.655,7.7625,7.79,7.65,,2022-04-12
18,7.67,7.645,7.78,7.62,,2022-04-11
19,7.57,7.6875,7.73,7.5275,,2022-04-08
20,7.5575,7.5775,7.5925,7.485,,2022-04-07
21,7.5975,7.565,7.615,7.5025,,2022-04-06
22,7.5075,7.5975,7.68,7.4925,,2022-04-05
23,7.37,7.505,7.5225,7.3475,,2022-04-04
24,7.485,7.35,7.515,7.3025,,2022-04-01
25,7.3925,7.4875,7.7,7.325,,2022-03-31
26,7.27,7.38,7.4875,7.2675,,2022-03-30
27,7.4625,7.2625,7.475,7.135,,2022-03-29
28,7.49,7.485,7.5025,7.405,,2022-03-28
29,7.485,7.54,7.5525,7.425,,2022-03-25
30,7.57,7.4825,7.625,7.45,,2022-03-24
31,7.5225,7.5775,7.705,7.49,,2022-03-23
32,7.5675,7.53,7.61,7.44,,2022-03-22
33,7.465,7.5625,7.65,7.43,,2022-03-21
34,7.5375,7.4175,7.55,7.365,,2022-03-18
35,7.3,7.545,7.575,7.285,,2022-03-17
36,7.5675,7.3,7.57,7.2675,,2022-03-16
37,0.0,7.58,7.59,7.36,,2022-03-15
38,7.45,7.2825,7.52,7.255,,2022-03-14
39,7.58,7.645,7.685,7.55,,2022-03-11
40,7.385,7.5775,7.68,7.385,,2022-03-10
41,7.5625,7.35,7.5725,7.34,,2022-03-09
42,7.475,7.545,7.59,7.24,,2022-03-08
43,7.8275,7.4925,7.8275,7.4275,,2022-03-07
44,7.6175,7.565,8.0,7.41,,2022-03-04
45,7.45,7.5125,7.785,7.45,,2022-03-03
46,7.4175,7.39,7.6,7.23,,2022-03-02
47,6.9975,7.3975,7.4425,6.9975,,2022-03-01
48,6.88,6.975,7.0475,6.79,,2022-02-28
49,6.9675,6.595,7.07,6.57,,2022-02-25
50,6.835,6.95,7.1875,6.82,,2022-02-24
51,6.74,6.8375,6.85,6.6925,,2022-02-23
52,6.5775,6.7475,6.7675,6.5775,,2022-02-22
53,6.485,6.5425,6.58,6.47,,2022-02-18
54,6.455,6.5,6.52,6.4275,,2022-02-17
55,6.3775,6.47,6.4775,6.3625,,2022-02-16
56,6.55,6.38,6.555,6.355,,2022-02-15
57,6.5125,6.5575,6.5675,6.425,,2022-02-14
58,6.41,6.51,6.5775,6.3775,,2022-02-11
59,6.46,6.4175,6.6275,6.3875,,2022-02-10
60,6.3225,6.4675,6.4775,6.305,,2022-02-09
61,6.365,6.3225,6.3675,6.2725,,2022-02-08
62,6.2875,6.3525,6.3675,6.2475,,2022-02-07
63,6.185,6.205,6.2325,6.1325,,2022-02-04
64,6.225,6.1675,6.2425,6.1025,,2022-02-03
65,6.345,6.225,6.4075,6.1675,,2022-02-02
66,6.26,6.3475,6.395,6.245,,2022-02-01
67,6.3575,6.26,6.425,6.225,,2022-01-31
68,6.2325,6.36,6.3725,6.23,,2022-01-28
69,6.25,6.2525,6.2775,6.2125,,2022-01-27
70,6.19,6.27,6.2775,6.15,,2022-01-26
71,6.2,6.2,6.31,6.185,,2022-01-25
72,6.175,6.21,6.215,6.0925,,2022-01-24
73,6.075,6.1625,6.185,6.0425,,2022-01-21
74,6.09,6.11,6.1425,6.0625,,2022-01-20
75,6.0,6.105,6.145,6.0,,2022-01-19
76,5.9275,5.995,6.0075,5.8825,,2022-01-18
77,5.875,5.9625,5.9825,5.8525,,2022-01-14
78,5.99,5.875,5.9975,5.8525,,2022-01-13
79,6.01,5.99,6.04,5.91,,2022-01-12
80,5.9975,6.01,6.0475,5.98,,2022-01-11
81,6.0525,5.9975,6.08,5.9625,,2022-01-10
82,6.0525,6.0675,6.0825,5.99,,2022-01-07
83,6.0125,6.0375,6.0575,5.96,,2022-01-06
84,6.085,6.0225,6.0975,6.0125,,2022-01-05
85,5.9175,6.095,6.1125,5.915,,2022-01-04
86,5.99,5.8925,6.035,5.8475,,2022-01-03
87,5.9575,5.9325,5.9925,5.925,,2021-12-31
88,6.055,5.96,6.06,5.9275,,2021-12-30
89,6.04,6.055,6.1075,5.995,,2021-12-29
90,6.1425,6.0475,6.1775,6.0375,,2021-12-28
91,6.0825,6.1475,6.155,6.07,,2021-12-27
92,6.015,6.0575,6.07,6.005,,2021-12-23
93,5.975,6.025,6.0675,5.97,,2021-12-22
94,5.91,5.9825,5.99,5.895,,2021-12-21
95,5.95,5.91,5.9575,5.87,,2021-12-20
